video_title,site_name,recorded_at,action,nest,frame_number,track_id,taxon,ml_confidence,timestamp
cvprmendels_2024-04-30_09_20_00,cvprmendels,2024-04-30T09:20:00+00:00,Exit,39,14419,26,bee,0.9512459427919862,2024-04-30 09:28:00.633333
cvprmendels_2024-04-30_09_20_00,cvprmendels,2024-04-30T09:20:00+00:00,Exit,26,17478,40,bee,0.6457052016396202,2024-04-30 09:29:42.600000
cvprmendels_2024-04-30_09_30_00,cvprmendels,2024-04-30T09:30:00+00:00,Entry,20,62,1,bee,0.6470003397101025,2024-04-30 09:30:02.066667
cvprmendels_2024-04-30_09_30_00,cvprmendels,2024-04-30T09:30:00+00:00,Exit,20,83,2,bee,0.962661488601455,2024-04-30 09:30:02.766667
cvprmendels_2024-04-30_09_30_00,cvprmendels,2024-04-30T09:30:00+00:00,Entry,16,157,2,bee,0.999933410538506,2024-04-30 09:30:05.233333
cvprmendels_2024-04-30_09_30_00,cvprmendels,2024-04-30T09:30:00+00:00,Exit,16,527,4,bee,0.8004835593608226,2024-04-30 09:30:17.566667
cvprmendels_2024-04-30_09_30_00,cvprmendels,2024-04-30T09:30:00+00:00,Entry,32,3745,17,bee,0.9800762676813634,2024-04-30 09:32:04.833333
cvprmendels_2024-04-30_09_30_00,cvprmendels,2024-04-30T09:30:00+00:00,Exit,32,3915,19,bee,0.936025118651994,2024-04-30 09:32:10.500000
cvprmendels_2024-04-30_09_30_00,cvprmendels,2024-04-30T09:30:00+00:00,Entry,37,3990,19,bee,0.9966476962527918,2024-04-30 09:32:13.000000
cvprmendels_2024-04-30_09_30_00,cvprmendels,2024-04-30T09:30:00+00:00,Exit,37,4299,20,bee,0.8457003252792914,2024-04-30 09:32:23.300000
cvprmendels_2024-04-30_09_30_00,cvprmendels,2024-04-30T09:30:00+00:00,Entry,38,4775,31,bee,0.8336305101239166,2024-04-30 09:32:39.166667
cvprmendels_2024-04-30_09_30_00,cvprmendels,2024-04-30T09:30:00+00:00,Exit,38,8964,40,bee,0.9119806615716479,2024-04-30 09:34:58.800000
cvprmendels_2024-04-30_09_30_00,cvprmendels,2024-04-30T09:30:00+00:00,Entry,37,13448,43,bee,0.816933581375791,2024-04-30 09:37:28.266667
cvprmendels_2024-04-30_09_30_00,cvprmendels,2024-04-30T09:30:00+00:00,Exit,37,13771,44,bee,0.8857615340618112,2024-04-30 09:37:39.033333
cvprmendels_2024-04-30_09_30_00,cvprmendels,2024-04-30T09:30:00+00:00,Entry,31,13847,44,bee,0.7919359755324237,2024-04-30 09:37:41.566667
cvprmendels_2024-04-30_09_30_00,cvprmendels,2024-04-30T09:30:00+00:00,Exit,31,13947,46,bee,0.6740266357639406,2024-04-30 09:37:44.900000
cvprmendels_2024-04-30_09_30_00,cvprmendels,2024-04-30T09:30:00+00:00,Entry,34,14095,47,bee,0.999933410538506,2024-04-30 09:37:49.833333
cvprmendels_2024-04-30_09_30_00,cvprmendels,2024-04-30T09:30:00+00:00,Exit,34,14567,48,bee,0.8407320648918126,2024-04-30 09:38:05.566667
cvprmendels_2024-04-30_09_30_00,cvprmendels,2024-04-30T09:30:00+00:00,Entry,37,14715,50,bee,0.962241186167622,2024-04-30 09:38:10.500000
cvprmendels_2024-04-30_09_30_00,cvprmendels,2024-04-30T09:30:00+00:00,Exit,37,14986,53,bee,0.7418305637889462,2024-04-30 09:38:19.533333
cvprmendels_2024-04-30_09_40_01,cvprmendels,2024-04-30T09:40:01+00:00,Entry,34,1293,13,bee,0.9687021623604515,2024-04-30 09:40:44.100000
cvprmendels_2024-04-30_09_40_01,cvprmendels,2024-04-30T09:40:01+00:00,Exit,34,4010,19,bee,0.9144044568057802,2024-04-30 09:42:14.666667
cvprmendels_2024-04-30_09_40_01,cvprmendels,2024-04-30T09:40:01+00:00,Entry,38,10045,26,bee,0.9700532298312919,2024-04-30 09:45:35.833333
cvprmendels_2024-04-30_09_40_01,cvprmendels,2024-04-30T09:40:01+00:00,Exit,38,13374,28,bee,0.9400242660127536,2024-04-30 09:47:26.800000
cvprmendels_2024-04-30_09_40_01,cvprmendels,2024-04-30T09:40:01+00:00,Entry,34,16273,31,bee,0.9370048781095137,2024-04-30 09:49:03.433333
cvprmendels_2024-05-08_15_00_00,cvprmendels,2024-05-08T15:00:00+00:00,Exit,55,764,1,bee,0.9154994497902708,2024-05-08 15:00:25.466667
cvprmendels_2024-05-08_15_00_00,cvprmendels,2024-05-08T15:00:00+00:00,Entry,54,1141,2,bee,0.8790625775062634,2024-05-08 15:00:38.033333
cvprmendels_2024-05-08_15_00_00,cvprmendels,2024-05-08T15:00:00+00:00,Exit,54,1723,3,bee,0.7756491716150589,2024-05-08 15:00:57.433333
cvprmendels_2024-05-08_15_00_00,cvprmendels,2024-05-08T15:00:00+00:00,Entry,56,2528,4,bee,0.9243723853535196,2024-05-08 15:01:24.266667
cvprmendels_2024-05-08_15_00_00,cvprmendels,2024-05-08T15:00:00+00:00,Exit,56,2928,5,bee,0.6906947721396983,2024-05-08 15:01:37.600000
cvprmendels_2024-05-08_15_00_00,cvprmendels,2024-05-08T15:00:00+00:00,Entry,12,3085,6,bee,0.9447422047253492,2024-05-08 15:01:42.833333
cvprmendels_2024-05-08_15_00_00,cvprmendels,2024-05-08T15:00:00+00:00,Exit,12,3431,12,bee,0.9167731166072507,2024-05-08 15:01:54.366667
cvprmendels_2024-05-08_15_00_00,cvprmendels,2024-05-08T15:00:00+00:00,Entry,14,3541,12,bee,0.9873445386910277,2024-05-08 15:01:58.033333
cvprmendels_2024-05-08_15_00_00,cvprmendels,2024-05-08T15:00:00+00:00,Exit,14,5778,14,bee,0.9436667971053444,2024-05-08 15:03:12.600000
cvprmendels_2024-05-08_15_00_00,cvprmendels,2024-05-08T15:00:00+00:00,Entry,14,8770,19,bee,0.9759849126844287,2024-05-08 15:04:52.333333
cvprmendels_2024-05-08_15_00_00,cvprmendels,2024-05-08T15:00:00+00:00,Exit,14,11076,26,bee,0.9067303755617969,2024-05-08 15:06:09.200000
cvprmendels_2024-05-08_15_00_00,cvprmendels,2024-05-08T15:00:00+00:00,Entry,33,11728,28,bee,0.8544192193839035,2024-05-08 15:06:30.933333
cvprmendels_2024-05-08_15_00_00,cvprmendels,2024-05-08T15:00:00+00:00,Exit,33,11893,30,bee,0.9492352758330322,2024-05-08 15:06:36.433333
cvprmendels_2024-05-08_15_00_00,cvprmendels,2024-05-08T15:00:00+00:00,Entry,36,12060,30,bee,0.9850545963563745,2024-05-08 15:06:42.000000
cvprmendels_2024-05-08_15_00_00,cvprmendels,2024-05-08T15:00:00+00:00,Exit,40,12274,49,bee,0.6476710136054321,2024-05-08 15:06:49.133333
cvprmendels_2024-05-08_15_00_00,cvprmendels,2024-05-08T15:00:00+00:00,Entry,57,12703,56,bee,0.9847681313323128,2024-05-08 15:07:03.433333
cvprmendels_2024-05-08_15_00_00,cvprmendels,2024-05-08T15:00:00+00:00,Entry,36,15069,58,bee,0.9554847816210064,2024-05-08 15:08:22.300000
cvprmendels_2024-05-08_15_00_00,cvprmendels,2024-05-08T15:00:00+00:00,Exit,57,14899,59,bee,0.8899057821391371,2024-05-08 15:08:16.633333
cvprmendels_2024-05-08_15_00_00,cvprmendels,2024-05-08T15:00:00+00:00,Exit,36,14976,63,bee,0.6042824528300497,2024-05-08 15:08:19.200000
cvprmendels_2024-05-08_15_00_00,cvprmendels,2024-05-08T15:00:00+00:00,Exit,36,17666,75,bee,0.606067465299029,2024-05-08 15:09:48.866667
cvprmendels_2024-05-08_15_00_00,cvprmendels,2024-05-08T15:00:00+00:00,Exit,36,17868,76,bee,0.8134598364298491,2024-05-08 15:09:55.600000
cvprmendels_2024-05-08_15_30_00,cvprmendels,2024-05-08T15:30:00+00:00,Exit,38,4008,2,bee,0.8490388587642689,2024-05-08 15:32:13.600000
cvprmendels_2024-05-08_15_30_00,cvprmendels,2024-05-08T15:30:00+00:00,Entry,36,4456,5,bee,0.9966476962527918,2024-05-08 15:32:28.533333
cvprmendels_2024-05-08_15_30_00,cvprmendels,2024-05-08T15:30:00+00:00,Entry,13,4814,9,bee,0.8101369203209312,2024-05-08 15:32:40.466667
cvprmendels_2024-05-08_15_30_00,cvprmendels,2024-05-08T15:30:00+00:00,Exit,36,5036,10,bee,0.924592469574777,2024-05-08 15:32:47.866667
cvprmendels_2024-05-08_15_30_00,cvprmendels,2024-05-08T15:30:00+00:00,Exit,35,5288,11,bee,0.9755533378806547,2024-05-08 15:32:56.266667
cvprmendels_2024-05-08_15_30_00,cvprmendels,2024-05-08T15:30:00+00:00,Entry,36,5456,12,bee,0.9844516995549253,2024-05-08 15:33:01.866667
