action,nest,frame_number,track_id,ml_confidence,timestamp,site,video_date,video_time,video_datetime,video_hour,video_name,source_file,seconds_in_video,event_datetime
Entry,10,6447,8,0.7709250059017327,2024-04-22 19:13:35.900000,natalies,2024-04-22,19:10:01,2024-04-22 19:10:01,19,natalies_2024-04-22_19_10_01,natalies_2024-04-22_19_10_01_events.csv,214.9,2024-04-22 19:13:35.900000
Exit,30,16211,7,0.6661932565829239,2024-04-23 09:59:00.366667,natalies,2024-04-23,09:50:00,2024-04-23 09:50:00,9,natalies_2024-04-23_09_50_00,natalies_2024-04-23_09_50_00_events.csv,540.3666666666667,2024-04-23 09:59:00.366667
Exit,30,16368,8,0.6337956724957519,2024-04-23 09:59:05.600000,natalies,2024-04-23,09:50:00,2024-04-23 09:50:00,9,natalies_2024-04-23_09_50_00,natalies_2024-04-23_09_50_00_events.csv,545.6,2024-04-23 09:59:05.600000
Exit,30,16452,9,0.6652262360488609,2024-04-23 09:59:08.400000,natalies,2024-04-23,09:50:00,2024-04-23 09:50:00,9,natalies_2024-04-23_09_50_00,natalies_2024-04-23_09_50_00_events.csv,548.4,2024-04-23 09:59:08.400000
Entry,30,16535,9,0.6013416866870496,2024-04-23 09:59:11.166667,natalies,2024-04-23,09:50:00,2024-04-23 09:50:00,9,natalies_2024-04-23_09_50_00,natalies_2024-04-23_09_50_00_events.csv,551.1666666666666,2024-04-23 09:59:11.166667
Exit,30,16857,10,0.628601201685536,2024-04-23 09:59:21.900000,natalies,2024-04-23,09:50:00,2024-04-23 09:50:00,9,natalies_2024-04-23_09_50_00,natalies_2024-04-23_09_50_00_events.csv,561.9,2024-04-23 09:59:21.900000
Exit,30,17183,11,0.6780981491824838,2024-04-23 09:59:32.766667,natalies,2024-04-23,09:50:00,2024-04-23 09:50:00,9,natalies_2024-04-23_09_50_00,natalies_2024-04-23_09_50_00_events.csv,572.7666666666667,2024-04-23 09:59:32.766667
Exit,30,17322,12,0.6257976736278351,2024-04-23 09:59:37.400000,natalies,2024-04-23,09:50:00,2024-04-23 09:50:00,9,natalies_2024-04-23_09_50_00,natalies_2024-04-23_09_50_00_events.csv,577.4,2024-04-23 09:59:37.400000
Exit,30,17504,13,0.6296942763761071,2024-04-23 09:59:43.466667,natalies,2024-04-23,09:50:00,2024-04-23 09:50:00,9,natalies_2024-04-23_09_50_00,natalies_2024-04-23_09_50_00_events.csv,583.4666666666667,2024-04-23 09:59:43.466667
Exit,30,17609,14,0.6716066164560967,2024-04-23 09:59:46.966667,natalies,2024-04-23,09:50:00,2024-04-23 09:50:00,9,natalies_2024-04-23_09_50_00,natalies_2024-04-23_09_50_00_events.csv,586.9666666666667,2024-04-23 09:59:46.966667
Exit,30,17753,15,0.7074088372314377,2024-04-23 09:59:51.766667,natalies,2024-04-23,09:50:00,2024-04-23 09:50:00,9,natalies_2024-04-23_09_50_00,natalies_2024-04-23_09_50_00_events.csv,591.7666666666667,2024-04-23 09:59:51.766667
