action,nest,frame_number,track_id,ml_confidence,timestamp
Entry,47,718,2,0.7609964109079962,2024-05-01 18:40:24.933333
Entry,12,529,15,0.947643561031546,2024-05-01 18:40:18.633333
Entry,30,815,21,0.9030695609305132,2024-05-01 18:40:28.166667
Exit,12,1302,23,0.7263278049463839,2024-05-01 18:40:44.400000
Entry,12,1625,26,0.7923818262026472,2024-05-01 18:40:55.166667
Entry,2,2540,30,0.9808196591898954,2024-05-01 18:41:25.666667
Exit,12,2647,33,0.859334833295166,2024-05-01 18:41:29.233333
Exit,47,3120,35,0.8097484995591877,2024-05-01 18:41:45.000000
Entry,46,3876,52,0.7281110986107923,2024-05-01 18:42:10.200000
Exit,46,4256,58,0.800868497383941,2024-05-01 18:42:22.866667
Exit,2,4725,77,0.8181205841732347,2024-05-01 18:42:38.500000
Entry,14,6170,95,0.6531573037292481,2024-05-01 18:43:26.666667
Exit,14,6245,97,0.7349231861149083,2024-05-01 18:43:29.166667
Entry,59,6760,103,0.719424042533857,2024-05-01 18:43:46.333333
Exit,59,6790,109,0.7583869277801674,2024-05-01 18:43:47.333333
Exit,14,6990,114,0.7591922937722967,2024-05-01 18:43:54.000000
Entry,50,7259,114,0.6744386266021032,2024-05-01 18:44:02.966667
Entry,14,7366,122,0.9331854829882131,2024-05-01 18:44:06.533333
Entry,1,8261,123,0.9376676616778766,2024-05-01 18:44:36.366667
Exit,14,8340,125,0.8688417381686871,2024-05-01 18:44:39.000000
Exit,50,8476,126,0.8621457376667135,2024-05-01 18:44:43.533333
Entry,60,8610,126,0.8546564120150423,2024-05-01 18:44:48.000000
Exit,60,8729,128,0.9020580039446826,2024-05-01 18:44:51.966667
Entry,5,8952,130,0.8847732744460537,2024-05-01 18:44:59.400000
Exit,5,9757,131,0.8039223155387454,2024-05-01 18:45:26.233333
Entry,5,9877,131,0.8471941843035943,2024-05-01 18:45:30.233333
Exit,5,9902,133,0.8684393072993273,2024-05-01 18:45:31.066667
Entry,15,9979,133,0.9805229285985636,2024-05-01 18:45:33.633333
Exit,15,10015,137,0.8736778928524483,2024-05-01 18:45:34.833333
Entry,46,10152,137,0.9145867578918546,2024-05-01 18:45:39.400000
Exit,46,10174,138,0.9266590573634659,2024-05-01 18:45:40.133333
Entry,57,10239,138,0.9876708243791457,2024-05-01 18:45:42.300000
Exit,57,10256,139,0.7892426324511728,2024-05-01 18:45:42.866667
Entry,9,10620,139,0.7790065047075092,2024-05-01 18:45:55.000000
Exit,9,10959,148,0.8314094663277001,2024-05-01 18:46:06.300000
Entry,13,11220,150,0.9473058983097669,2024-05-01 18:46:15.000000
Exit,13,11251,152,0.9390747273932881,2024-05-01 18:46:16.033333
Entry,35,11402,152,0.8907947901767078,2024-05-01 18:46:21.066667
Exit,35,12244,158,0.8504105893804096,2024-05-01 18:46:49.133333
Entry,38,12612,174,0.989933410538506,2024-05-01 18:47:01.400000
Entry,35,12832,176,0.7456628000522529,2024-05-01 18:47:08.733333
Exit,1,12834,177,0.7199912518429558,2024-05-01 18:47:08.800000
Exit,35,12909,178,0.890034908908041,2024-05-01 18:47:11.300000
Entry,31,12983,178,0.999933410538506,2024-05-01 18:47:13.766667
Exit,31,13232,180,0.8754323684420838,2024-05-01 18:47:22.066667
Entry,25,13357,180,0.9966476962527918,2024-05-01 18:47:26.233333
Exit,25,13960,181,0.7516228037395635,2024-05-01 18:47:46.333333
Entry,14,14424,186,0.9429573477200135,2024-05-01 18:48:01.800000
Exit,14,14477,188,0.9324141355939594,2024-05-01 18:48:03.566667
Entry,47,14676,188,0.8808494067401414,2024-05-01 18:48:10.200000
Exit,47,14699,191,0.935718551177574,2024-05-01 18:48:10.966667
Entry,54,14859,191,0.9472399255408511,2024-05-01 18:48:16.300000
Exit,54,15624,192,0.8416864805927584,2024-05-01 18:48:41.800000
Entry,11,15871,192,0.8760225563110905,2024-05-01 18:48:50.033333
Entry,1,16255,195,0.8371192940572152,2024-05-01 18:49:02.833333
Exit,11,17656,197,0.8544763947099302,2024-05-01 18:49:49.533333
