action,nest,frame_number,track_id,ml_confidence,timestamp
Entry,8,933,2,0.999933410538506,2024-05-20 13:50:32.100000
Exit,20,2071,6,0.9735822395990575,2024-05-20 13:51:10.033333
Exit,8,4077,11,0.801907190576742,2024-05-20 13:52:16.900000
Entry,7,4386,12,0.9979675985726941,2024-05-20 13:52:27.200000
Entry,19,9249,27,0.9323849328413809,2024-05-20 13:55:09.300000
Exit,19,11144,30,0.9205236211394091,2024-05-20 13:56:12.466667
Entry,20,14958,49,0.900926662493015,2024-05-20 13:58:19.600000
Entry,10,17273,55,0.8135562874513503,2024-05-20 13:59:36.766667
