action,nest,frame_number,track_id,ml_confidence,timestamp
Entry,20,692,1,0.8541000960416898,2024-05-24 09:10:23.066667
Exit,20,1088,4,0.8554717112728616,2024-05-24 09:10:36.266667
Exit,59,5736,5,0.7336250173922753,2024-05-24 09:13:11.200000
Entry,59,5775,5,0.8215516785447431,2024-05-24 09:13:12.500000
Entry,29,7069,8,0.961634540426641,2024-05-24 09:13:55.633333
Exit,29,8367,11,0.9231614929376113,2024-05-24 09:14:38.900000
Entry,9,17013,12,0.9730842056216686,2024-05-24 09:19:27.100000
Exit,9,17769,15,0.7939144083362482,2024-05-24 09:19:52.300000
