action,nest,frame_number,track_id,ml_confidence,timestamp
Entry,28,4082,4,0.8042108619997974,2024-05-24 16:52:16.066667
Exit,28,4788,8,0.7655903797882901,2024-05-24 16:52:39.600000
Entry,18,4946,13,0.9593029694759361,2024-05-24 16:52:44.866667
Exit,18,5112,14,0.9149201659576892,2024-05-24 16:52:50.400000
Entry,18,5182,14,0.9260102133510543,2024-05-24 16:52:52.733333
Exit,18,5465,15,0.89035866721098,2024-05-24 16:53:02.166667
Entry,20,5579,15,0.9628404979875609,2024-05-24 16:53:05.966667
Exit,20,8382,16,0.985025403525457,2024-05-24 16:54:39.400000
Entry,20,9158,24,0.81387845106619,2024-05-24 16:55:05.266667
Exit,20,11516,32,0.985025403525457,2024-05-24 16:56:23.866667
Entry,20,12446,33,0.8833790399618466,2024-05-24 16:56:54.866667
Exit,25,13927,45,0.7333119088772198,2024-05-24 16:57:44.233333
Entry,60,14103,48,0.6561830021385862,2024-05-24 16:57:50.100000
Entry,60,16908,50,0.6113722122871392,2024-05-24 16:59:23.600000
Exit,20,17043,51,0.9797823927727688,2024-05-24 16:59:28.100000
