action,nest,frame_number,track_id,ml_confidence,timestamp
Entry,10,2472,4,0.8720091943070832,2024-05-22 15:11:22.400000
Entry,27,3170,6,0.988733608424911,2024-05-22 15:11:45.666667
Entry,55,7073,13,0.8782405611869186,2024-05-22 15:13:55.766667
Exit,55,7917,14,0.7941116983413221,2024-05-22 15:14:23.900000
Entry,27,9419,15,0.9616097330567557,2024-05-22 15:15:13.966667
Exit,10,9528,19,0.8088427674983326,2024-05-22 15:15:17.600000
Entry,55,13523,26,0.9567509225366456,2024-05-22 15:17:30.766667
Exit,8,13818,28,0.8382012631897205,2024-05-22 15:17:40.600000
Entry,10,13908,28,0.9694296962024279,2024-05-22 15:17:43.600000
Exit,55,14061,31,0.8059806688058747,2024-05-22 15:17:48.700000
Entry,56,14366,32,0.9696229402315084,2024-05-22 15:17:58.866667
Exit,10,14791,34,0.7132872876924747,2024-05-22 15:18:13.033333
Exit,27,15421,40,0.8303777000992298,2024-05-22 15:18:34.033333
Exit,56,16155,49,0.7600141304870794,2024-05-22 15:18:58.500000
Entry,60,16777,55,0.6824973110395272,2024-05-22 15:19:19.233333
Exit,60,16799,56,0.7160234936399852,2024-05-22 15:19:19.966667
