action,nest,frame_number,track_id,ml_confidence,timestamp
Exit,48,722,3,0.8589849628663435,2024-04-23 16:30:24.066667
Entry,48,848,3,0.8403362203088851,2024-04-23 16:30:28.266667
Exit,55,969,7,0.6904959638133816,2024-04-23 16:30:32.300000
Exit,51,14659,25,0.8240866830234048,2024-04-23 16:38:08.633333
Exit,51,14659,26,0.8240866830234048,2024-04-23 16:38:08.633333
Exit,53,14671,28,0.7897115571988661,2024-04-23 16:38:09.033333
Entry,53,14675,28,0.72911031375231,2024-04-23 16:38:09.166667
Exit,59,15458,34,0.6065937851489973,2024-04-23 16:38:35.266667
Exit,59,15625,35,0.7417052139245683,2024-04-23 16:38:40.833333
Exit,59,15765,39,0.8599942296438553,2024-04-23 16:38:45.500000
Entry,59,15780,39,0.7709250059017327,2024-04-23 16:38:46.000000
Entry,45,16444,40,0.9525752422056063,2024-04-23 16:39:08.133333
Entry,51,17483,68,0.9078798026316389,2024-04-23 16:39:42.766667
