action,nest,frame_number,track_id,ml_confidence,timestamp
Entry,29,3340,4,0.8736758141553952,2024-05-24 12:11:51.333333
Exit,20,3367,5,0.973072506484713,2024-05-24 12:11:52.233333
Entry,59,3589,8,0.6757872150283407,2024-05-24 12:11:59.633333
Exit,59,4129,10,0.9162213526424222,2024-05-24 12:12:17.633333
Entry,20,7338,20,0.9173789567278615,2024-05-24 12:14:04.600000
Entry,59,7824,21,0.7983848285910484,2024-05-24 12:14:20.800000
Exit,29,8378,25,0.9014686128006396,2024-05-24 12:14:39.266667
Exit,20,8716,27,0.8328151422674727,2024-05-24 12:14:50.533333
Entry,28,11433,29,0.9199276530446525,2024-05-24 12:16:21.100000
Exit,58,13173,30,0.6229054061986065,2024-05-24 12:17:19.100000
Entry,58,13219,30,0.6727978793168858,2024-05-24 12:17:20.633333
Exit,28,13196,31,0.9225802049393275,2024-05-24 12:17:19.866667
Exit,58,14068,33,0.7463113942287805,2024-05-24 12:17:48.933333
Entry,19,15926,35,0.933817500990078,2024-05-24 12:18:50.866667
Exit,19,16049,36,0.807488867491858,2024-05-24 12:18:54.966667
Entry,29,16288,36,0.8193511062100991,2024-05-24 12:19:02.933333
Exit,19,16380,43,0.8869625864886516,2024-05-24 12:19:06.000000
Entry,19,16537,44,0.8607984908873675,2024-05-24 12:19:11.233333
Exit,19,16905,46,0.9291289755578146,2024-05-24 12:19:23.500000
Entry,20,17075,47,0.9896366363449576,2024-05-24 12:19:29.166667
Entry,57,17358,48,0.999933410538506,2024-05-24 12:19:38.600000
