action,nest,frame_number,track_id,ml_confidence,timestamp
Exit,11,138,2,0.8752361984413595,2024-05-07 18:00:04.600000
Entry,11,301,2,0.8619318959434232,2024-05-07 18:00:10.033333
Entry,13,4460,4,0.8696922698725151,2024-05-07 18:02:28.666667
Exit,13,4540,9,0.6073716379104842,2024-05-07 18:02:31.333333
Exit,21,4559,10,0.6591879590119464,2024-05-07 18:02:31.966667
Exit,13,4969,12,0.6094512875181151,2024-05-07 18:02:45.633333
Exit,13,5108,14,0.6038560425813576,2024-05-07 18:02:50.266667
Exit,13,5902,33,0.6200152832596976,2024-05-07 18:03:16.733333
Exit,13,6033,53,0.6984503307361807,2024-05-07 18:03:21.100000
Entry,53,6639,56,0.6134437889627956,2024-05-07 18:03:41.300000
Exit,21,7351,57,0.6331491078398561,2024-05-07 18:04:05.033333
Exit,53,7374,58,0.8058248014143327,2024-05-07 18:04:05.800000
Entry,54,7446,58,0.9692001733033994,2024-05-07 18:04:08.200000
Exit,52,10919,69,0.8716945370968119,2024-05-07 18:06:03.966667
Entry,41,11016,70,0.8879248767995255,2024-05-07 18:06:07.200000
Exit,41,11228,73,0.7422651574136654,2024-05-07 18:06:14.266667
Entry,36,11380,74,0.9071301508936637,2024-05-07 18:06:19.333333
Entry,1,12264,88,0.9607564413427236,2024-05-07 18:06:48.800000
Entry,47,12385,93,0.9321146305236185,2024-05-07 18:06:52.833333
Exit,36,14554,97,0.9708448721034764,2024-05-07 18:08:05.133333
Exit,1,14661,99,0.8285427081424054,2024-05-07 18:08:08.700000
Entry,55,14801,105,0.9295876004562146,2024-05-07 18:08:13.366667
Exit,55,15333,111,0.6104426796173967,2024-05-07 18:08:31.100000
Entry,53,16431,120,0.9857050124133337,2024-05-07 18:09:07.700000
Exit,53,17241,128,0.692676922969277,2024-05-07 18:09:34.700000
Entry,22,17343,129,0.7844309168798034,2024-05-07 18:09:38.100000
Exit,12,17824,132,0.7052446444464064,2024-05-07 18:09:54.133333
Entry,12,17973,132,0.7141360088408197,2024-05-07 18:09:59.100000
