action,nest,frame_number,track_id,ml_confidence,timestamp
Exit,13,244,1,0.7917250552492588,2024-05-07 18:40:08.133333
Exit,1,2723,4,0.6027121822850937,2024-05-07 18:41:30.766667
Exit,1,3248,6,0.8615829223521162,2024-05-07 18:41:48.266667
Entry,13,4221,7,0.8550085087535747,2024-05-07 18:42:20.700000
Entry,22,7500,21,0.9830652077735291,2024-05-07 18:44:10.000000
Exit,13,9673,25,0.7782227061801127,2024-05-07 18:45:22.433333
Entry,11,11100,28,0.9668837890488846,2024-05-07 18:46:10.000000
Entry,13,13476,31,0.818959097713551,2024-05-07 18:47:29.200000
Exit,11,15471,43,0.94322565402014,2024-05-07 18:48:35.700000
