action,nest,frame_number,track_id,ml_confidence,timestamp
Exit,26,937,1,0.9212112764664075,2024-05-21 14:30:31.233333
Entry,10,2571,3,0.993891029011115,2024-05-21 14:31:25.700000
Entry,26,4132,8,0.6299796423281065,2024-05-21 14:32:17.733333
Exit,10,4220,12,0.7279875872694471,2024-05-21 14:32:20.666667
Exit,26,6049,14,0.8668348523786014,2024-05-21 14:33:21.633333
Exit,59,7361,15,0.6524300190361378,2024-05-21 14:34:05.366667
Entry,25,10385,16,0.8970383344443422,2024-05-21 14:35:46.166667
Entry,10,14777,21,0.9008926964508354,2024-05-21 14:38:12.566667
Entry,27,16327,28,0.8443847108493725,2024-05-21 14:39:04.233333
