action,nest,frame_number,track_id,ml_confidence,timestamp
Exit,56,309,2,0.7759999672649053,2024-05-07 11:50:10.300000
Entry,10,513,2,0.8506553052460443,2024-05-07 11:50:17.100000
Exit,10,947,6,0.9515215538123911,2024-05-07 11:50:31.566667
Entry,5,1043,6,0.9939277859263241,2024-05-07 11:50:34.766667
Entry,45,3378,9,0.9746818842869799,2024-05-07 11:51:52.600000
Exit,45,3940,13,0.7937943896342422,2024-05-07 11:52:11.333333
Exit,5,4335,15,0.7846885021011423,2024-05-07 11:52:24.500000
Exit,58,7839,30,0.6115805981611437,2024-05-07 11:54:21.300000
Entry,58,7883,30,0.6614730712794232,2024-05-07 11:54:22.766667
Exit,58,13861,32,0.9241414980016859,2024-05-07 11:57:42.033333
