action,nest,frame_number,track_id,ml_confidence,timestamp
Exit,25,187,1,0.8406570132122184,2024-06-06 15:10:06.233333
Entry,25,202,1,0.7515877894700956,2024-06-06 15:10:06.733333
Exit,26,884,4,0.8599942296438553,2024-06-06 15:10:29.466667
Entry,26,899,4,0.7709250059017327,2024-06-06 15:10:29.966667
Entry,60,1000,6,0.7878021802840591,2024-06-06 15:10:33.333333
Exit,60,1138,9,0.8064671491061898,2024-06-06 15:10:37.933333
Entry,60,1153,9,0.7232033440832789,2024-06-06 15:10:38.433333
Entry,24,1201,10,0.7788320514944931,2024-06-06 15:10:40.033333
Exit,60,1183,11,0.746268574581042,2024-06-06 15:10:39.433333
Entry,60,1198,11,0.6630047695581311,2024-06-06 15:10:39.933333
Exit,24,1251,13,0.8599942296438553,2024-06-06 15:10:41.700000
Entry,24,1266,13,0.7709250059017327,2024-06-06 15:10:42.200000
Exit,59,1253,14,0.8599942296438553,2024-06-06 15:10:41.766667
Entry,59,1268,14,0.7709250059017327,2024-06-06 15:10:42.266667
Exit,24,1306,15,0.8406570132122184,2024-06-06 15:10:43.533333
Entry,24,1321,15,0.7515877894700956,2024-06-06 15:10:44.033333
Exit,23,1661,16,0.8265519865991676,2024-06-06 15:10:55.366667
Exit,60,1669,17,0.8064671491061898,2024-06-06 15:10:55.633333
Entry,60,1684,17,0.7232033440832789,2024-06-06 15:10:56.133333
Exit,60,1961,21,0.8406570132122184,2024-06-06 15:11:05.366667
Entry,60,1976,21,0.7515877894700956,2024-06-06 15:11:05.866667
Exit,24,2059,23,0.6782852630622339,2024-06-06 15:11:08.633333
Entry,23,2090,23,0.6321157976045728,2024-06-06 15:11:09.666667
Exit,24,2106,24,0.8599942296438553,2024-06-06 15:11:10.200000
Entry,24,2121,24,0.7709250059017327,2024-06-06 15:11:10.700000
Exit,16,2129,25,0.808344952981566,2024-06-06 15:11:10.966667
Entry,16,2144,25,0.7202229194899512,2024-06-06 15:11:11.466667
Exit,23,2173,26,0.8632585133331275,2024-06-06 15:11:12.433333
Exit,25,2349,30,0.8599942296438553,2024-06-06 15:11:18.300000
Entry,25,2364,30,0.7709250059017327,2024-06-06 15:11:18.800000
Entry,24,2410,31,0.7001161592506926,2024-06-06 15:11:20.333333
Exit,59,2396,33,0.8599942296438553,2024-06-06 15:11:19.866667
Entry,59,2411,33,0.7709250059017327,2024-06-06 15:11:20.366667
Exit,24,2490,36,0.663106564258985,2024-06-06 15:11:23.000000
Entry,23,2532,36,0.7768966480895663,2024-06-06 15:11:24.400000
Exit,26,2566,37,0.8599942296438553,2024-06-06 15:11:25.533333
Entry,26,2581,37,0.7709250059017327,2024-06-06 15:11:26.033333
Exit,14,2584,38,0.8499942296438553,2024-06-06 15:11:26.133333
Entry,14,2599,38,0.7609250059017327,2024-06-06 15:11:26.633333
Exit,60,2648,41,0.8113253775748938,2024-06-06 15:11:28.266667
Entry,60,2663,41,0.7232033440832789,2024-06-06 15:11:28.766667
Exit,25,2657,42,0.8830275915900809,2024-06-06 15:11:28.566667
Exit,30,2752,44,0.808344952981566,2024-06-06 15:11:31.733333
Entry,30,2767,44,0.7202229194899512,2024-06-06 15:11:32.233333
Exit,24,2821,47,0.8161559529266388,2024-06-06 15:11:34.033333
Exit,22,2861,49,0.6559401489989216,2024-06-06 15:11:35.366667
Exit,24,2873,50,0.6276710136054321,2024-06-06 15:11:35.766667
Exit,60,2955,53,0.6476710136054321,2024-06-06 15:11:38.500000
Exit,35,3094,60,0.8639427274979325,2024-06-06 15:11:43.133333
Entry,35,3109,60,0.7748735037558099,2024-06-06 15:11:43.633333
Entry,23,3155,62,0.7892399816776948,2024-06-06 15:11:45.166667
Exit,24,3199,64,0.8154742645489536,2024-06-06 15:11:46.633333
Exit,60,3222,65,0.8064671491061898,2024-06-06 15:11:47.400000
Entry,60,3237,65,0.7232033440832789,2024-06-06 15:11:47.900000
Exit,23,3534,70,0.6524880113873993,2024-06-06 15:11:57.800000
Exit,60,3783,71,0.8113253775748938,2024-06-06 15:12:06.100000
Entry,60,3798,71,0.7232033440832789,2024-06-06 15:12:06.600000
Exit,60,3963,76,0.8064671491061898,2024-06-06 15:12:12.100000
Entry,60,3978,76,0.7232033440832789,2024-06-06 15:12:12.600000
Entry,23,4008,77,0.8113094546015097,2024-06-06 15:12:13.600000
Exit,24,4071,78,0.6109567278911464,2024-06-06 15:12:15.700000
Exit,26,4609,83,0.8406570132122184,2024-06-06 15:12:33.633333
Entry,26,4624,83,0.7515877894700956,2024-06-06 15:12:34.133333
Exit,25,4766,85,0.8599942296438553,2024-06-06 15:12:38.866667
Entry,25,4781,85,0.7709250059017327,2024-06-06 15:12:39.366667
Exit,26,4827,86,0.8406570132122184,2024-06-06 15:12:40.900000
Entry,26,4842,86,0.7515877894700956,2024-06-06 15:12:41.400000
Exit,24,5804,87,0.8599942296438553,2024-06-06 15:13:13.466667
Entry,24,5819,87,0.7709250059017327,2024-06-06 15:13:13.966667
Exit,26,5834,88,0.8599942296438553,2024-06-06 15:13:14.466667
Entry,26,5849,88,0.7709250059017327,2024-06-06 15:13:14.966667
Exit,24,6057,89,0.8064671491061898,2024-06-06 15:13:21.900000
Entry,24,6072,89,0.7232033440832789,2024-06-06 15:13:22.400000
Exit,23,6191,93,0.7427311454354113,2024-06-06 15:13:26.366667
Entry,15,6236,93,0.7868530804110558,2024-06-06 15:13:27.866667
Exit,14,6438,96,0.8639427274979325,2024-06-06 15:13:34.600000
Entry,14,6453,96,0.7748735037558099,2024-06-06 15:13:35.100000
Exit,27,6965,103,0.8599942296438553,2024-06-06 15:13:52.166667
Entry,27,6980,103,0.7709250059017327,2024-06-06 15:13:52.666667
Exit,36,6999,104,0.8639427274979325,2024-06-06 15:13:53.300000
Entry,36,7014,104,0.7748735037558099,2024-06-06 15:13:53.800000
Exit,26,10713,109,0.736268574581042,2024-06-06 15:15:57.100000
Entry,26,10728,109,0.6530047695581311,2024-06-06 15:15:57.600000
Exit,26,12576,118,0.7175784558117754,2024-06-06 15:16:59.200000
Entry,26,12889,118,0.7115192830491821,2024-06-06 15:17:09.633333
Exit,26,13445,120,0.8599942296438553,2024-06-06 15:17:28.166667
Entry,26,13460,120,0.7709250059017327,2024-06-06 15:17:28.666667
Exit,25,13912,123,0.6822108799963195,2024-06-06 15:17:43.733333
Exit,60,14641,127,0.736268574581042,2024-06-06 15:18:08.033333
Entry,60,14656,127,0.6530047695581311,2024-06-06 15:18:08.533333
Exit,26,14684,129,0.8599942296438553,2024-06-06 15:18:09.466667
Entry,26,14699,129,0.7709250059017327,2024-06-06 15:18:09.966667
Exit,26,14852,130,0.8639427274979325,2024-06-06 15:18:15.066667
Entry,26,14867,130,0.7748735037558099,2024-06-06 15:18:15.566667
Exit,16,15704,131,0.8599942296438553,2024-06-06 15:18:43.466667
Entry,16,15719,131,0.7709250059017327,2024-06-06 15:18:43.966667
Exit,60,15810,133,0.8064671491061898,2024-06-06 15:18:47.000000
Entry,60,15825,133,0.7232033440832789,2024-06-06 15:18:47.500000
Exit,22,15860,134,0.8406570132122184,2024-06-06 15:18:48.666667
Entry,22,15875,134,0.7515877894700956,2024-06-06 15:18:49.166667
Exit,26,16086,137,0.6152858553780368,2024-06-06 15:18:56.200000
Exit,6,16753,140,0.8639427274979325,2024-06-06 15:19:18.433333
Entry,6,16768,140,0.7748735037558099,2024-06-06 15:19:18.933333
Exit,26,17187,145,0.8599942296438553,2024-06-06 15:19:32.900000
Entry,26,17202,145,0.7709250059017327,2024-06-06 15:19:33.400000
Exit,26,17231,146,0.8599942296438553,2024-06-06 15:19:34.366667
Entry,26,17246,146,0.7709250059017327,2024-06-06 15:19:34.866667
Exit,26,17677,148,0.7896320009585986,2024-06-06 15:19:49.233333
Exit,26,17740,149,0.8499942296438553,2024-06-06 15:19:51.333333
Entry,26,17755,149,0.7609250059017327,2024-06-06 15:19:51.833333
