action,nest,frame_number,track_id,ml_confidence,timestamp
Entry,13,3679,5,0.9050698406415801,2024-05-07 11:02:02.633333
Exit,13,6703,11,0.7266652235777014,2024-05-07 11:03:43.433333
Exit,44,12080,13,0.6122985477114189,2024-05-07 11:06:42.666667
Exit,44,12337,14,0.6670884083111254,2024-05-07 11:06:51.233333
Exit,22,12339,15,0.6862751994343322,2024-05-07 11:06:51.300000
Entry,22,12413,15,0.6223906500725208,2024-05-07 11:06:53.766667
Entry,14,12438,16,0.9476783860810278,2024-05-07 11:06:54.600000
Exit,22,14630,18,0.6344071460950059,2024-05-07 11:08:07.666667
Exit,14,14649,21,0.8008443686605262,2024-05-07 11:08:08.300000
