action,nest,frame_number,track_id,ml_confidence,timestamp
Exit,10,716,1,0.9835077383948885,2024-05-20 19:10:24.866667
Entry,10,7613,18,0.8605450212841247,2024-05-20 19:14:14.766667
Entry,19,8352,23,0.9946818842869799,2024-05-20 19:14:39.400000
Exit,10,9780,38,0.9843835029673356,2024-05-20 19:15:27.000000
Entry,10,12582,45,0.7601336312316466,2024-05-20 19:17:00.400000
Exit,19,13357,48,0.941975864865932,2024-05-20 19:17:26.233333
Entry,19,14555,52,0.9756506696428571,2024-05-20 19:18:06.166667
Exit,10,15461,54,0.9819904085092549,2024-05-20 19:18:36.366667
Entry,10,16330,56,0.8978195513010686,2024-05-20 19:19:05.333333
Exit,19,16898,57,0.8585604094589132,2024-05-20 19:19:24.266667
