action,nest,frame_number,track_id,ml_confidence,timestamp
Exit,10,924,1,0.9874393623265124,2024-05-21 09:30:30.800000
Entry,28,1163,2,0.8642090272281803,2024-05-21 09:30:38.766667
Exit,59,2521,3,0.7708901851275753,2024-05-21 09:31:24.033333
Entry,40,2548,3,0.6242876222420489,2024-05-21 09:31:24.933333
Exit,28,5338,4,0.7020792523999485,2024-05-21 09:32:57.933333
Entry,19,8470,7,0.9733619819670776,2024-05-21 09:34:42.333333
Entry,10,8808,9,0.9946903997858177,2024-05-21 09:34:53.600000
Entry,27,9049,11,0.8050831568800709,2024-05-21 09:35:01.633333
Exit,57,9770,12,0.7525739661054632,2024-05-21 09:35:25.666667
Exit,19,9921,13,0.9581372172409582,2024-05-21 09:35:30.700000
Entry,19,10022,13,0.9508204683966787,2024-05-21 09:35:34.066667
Exit,10,9990,14,0.9121290982873711,2024-05-21 09:35:33.000000
Exit,27,10520,15,0.7811539667192531,2024-05-21 09:35:50.666667
Entry,10,13594,19,0.9873210144932142,2024-05-21 09:37:33.133333
Entry,27,13803,22,0.962716072321168,2024-05-21 09:37:40.100000
Exit,27,15929,27,0.9214609419099389,2024-05-21 09:38:50.966667
Entry,55,16535,28,0.7587561456395026,2024-05-21 09:39:11.166667
