action,nest,frame_number,track_id,ml_confidence,timestamp
Entry,11,4151,3,0.9332179137062506,2024-05-03 10:52:19.366667
Exit,11,5658,4,0.9381773332655609,2024-05-03 10:53:09.600000
Entry,11,5782,4,0.9242891558498526,2024-05-03 10:53:13.733333
Entry,46,6672,6,0.8634780513447292,2024-05-03 10:53:43.400000
Exit,11,6714,7,0.9618472161214631,2024-05-03 10:53:44.800000
Entry,16,8317,8,0.7874527743846603,2024-05-03 10:54:38.233333
Exit,46,8920,15,0.9817396892397428,2024-05-03 10:54:58.333333
Exit,16,10266,16,0.984955437975322,2024-05-03 10:55:43.200000
Entry,16,10348,16,0.9846430463442968,2024-05-03 10:55:45.933333
Exit,16,12261,18,0.8149434339464057,2024-05-03 10:56:49.700000
Entry,1,14121,20,0.9391272920810245,2024-05-03 10:57:51.700000
Entry,16,15792,22,0.9541619578614742,2024-05-03 10:58:47.400000
Exit,1,16282,24,0.9373697405470925,2024-05-03 10:59:03.733333
Exit,16,16437,25,0.8755466735057469,2024-05-03 10:59:08.900000
Entry,1,17742,26,0.8262337770385579,2024-05-03 10:59:52.400000
