action,nest,frame_number,track_id,ml_confidence,timestamp
Exit,17,360,1,0.6546113717329776,2024-05-02 18:40:12.000000
Exit,21,387,2,0.7804258123258897,2024-05-02 18:40:12.900000
Exit,17,775,3,0.6595424353258068,2024-05-02 18:40:25.833333
Exit,17,1864,5,0.6757312767276034,2024-05-02 18:41:02.133333
Entry,17,1958,5,0.6051324416515063,2024-05-02 18:41:05.266667
Entry,45,1926,6,0.8672772804532519,2024-05-02 18:41:04.200000
Entry,12,4437,13,0.7960779948169237,2024-05-02 18:42:27.900000
Exit,45,6270,16,0.9747330287581386,2024-05-02 18:43:29.000000
Exit,12,6887,17,0.7155014591546172,2024-05-02 18:43:49.566667
Entry,21,8538,18,0.9436108728869066,2024-05-02 18:44:44.600000
Entry,36,9132,19,0.828061089237986,2024-05-02 18:45:04.400000
Exit,21,9854,21,0.8999005757135526,2024-05-02 18:45:28.466667
Exit,8,10247,22,0.6758447711739558,2024-05-02 18:45:41.566667
Entry,11,10315,22,0.9608409133146228,2024-05-02 18:45:43.833333
Exit,36,10640,23,0.9089191594720419,2024-05-02 18:45:54.666667
Entry,58,11740,27,0.8667479527850745,2024-05-02 18:46:31.333333
Entry,2,11932,29,0.9488024443621179,2024-05-02 18:46:37.733333
Entry,41,12862,31,0.9943405898998863,2024-05-02 18:47:08.733333
Exit,11,13160,35,0.830042603437962,2024-05-02 18:47:18.666667
Exit,2,14615,36,0.6978723611632691,2024-05-02 18:48:07.166667
Entry,21,16597,37,0.9620883020387779,2024-05-02 18:49:13.233333
Exit,41,17356,39,0.8848305789770375,2024-05-02 18:49:38.533333
