action,nest,frame_number,track_id,ml_confidence,timestamp
Exit,10,312,1,0.7369110356379279,2024-05-02 08:10:10.400000
Entry,58,465,1,0.8094981925218928,2024-05-02 08:10:15.500000
Exit,58,1127,8,0.7523519752516841,2024-05-02 08:10:37.566667
Entry,20,2104,13,0.8587629957973067,2024-05-02 08:11:10.133333
Exit,11,2707,16,0.7809523577171642,2024-05-02 08:11:30.233333
Exit,20,2797,17,0.633896000374881,2024-05-02 08:11:33.233333
Entry,27,5389,22,0.9857531838315831,2024-05-02 08:12:59.633333
Entry,37,5547,24,0.999933410538506,2024-05-02 08:13:04.900000
Exit,20,6955,26,0.7859073969376307,2024-05-02 08:13:51.833333
Entry,12,8272,28,0.8529246233654386,2024-05-02 08:14:35.733333
Exit,12,8604,34,0.8681424767867374,2024-05-02 08:14:46.800000
Entry,11,8813,34,0.8428957545971808,2024-05-02 08:14:53.766667
Exit,37,9356,41,0.9680713046043589,2024-05-02 08:15:11.866667
Entry,38,9627,42,0.976466291556367,2024-05-02 08:15:20.900000
Exit,38,10375,48,0.9742948572333796,2024-05-02 08:15:45.833333
Exit,27,11057,49,0.821034523262263,2024-05-02 08:16:08.566667
Entry,2,11443,55,0.8832165804503737,2024-05-02 08:16:21.433333
Exit,2,13261,56,0.7161086693489881,2024-05-02 08:17:22.033333
Exit,11,13666,57,0.8569958094679302,2024-05-02 08:17:35.533333
Entry,36,16992,61,0.9338631608874799,2024-05-02 08:19:26.400000
