action,nest,frame_number,track_id,ml_confidence,timestamp
Exit,10,4743,3,0.8499942296438553,2024-06-04 16:32:39.100000
Entry,10,4758,3,0.7609250059017327,2024-06-04 16:32:39.600000
Exit,10,4800,4,0.8499942296438553,2024-06-04 16:32:41.000000
Entry,10,4815,4,0.7609250059017327,2024-06-04 16:32:41.500000
Exit,10,5072,6,0.8599942296438553,2024-06-04 16:32:50.066667
Entry,10,5086,6,0.7709250059017327,2024-06-04 16:32:50.533333
Exit,10,5892,7,0.8599942296438553,2024-06-04 16:33:17.400000
Entry,10,5907,7,0.7709250059017327,2024-06-04 16:33:17.900000
Exit,10,6191,9,0.8580284176780434,2024-06-04 16:33:27.366667
Entry,10,6206,9,0.7689591939359207,2024-06-04 16:33:27.866667
