action,nest,frame_number,track_id,ml_confidence,timestamp
Exit,10,580,1,0.9446613979599323,2024-05-20 19:00:19.333333
Entry,10,1086,5,0.7435149261956753,2024-05-20 19:00:36.200000
Entry,10,3331,25,0.8361883027850425,2024-05-20 19:01:51.033333
Exit,10,3745,26,0.8267280065507983,2024-05-20 19:02:04.833333
Entry,10,7974,27,0.8702482470905762,2024-05-20 19:04:25.800000
Exit,10,9996,31,0.9623451296075203,2024-05-20 19:05:33.200000
Entry,60,10540,32,0.9243296834824776,2024-05-20 19:05:51.333333
Entry,9,12098,34,0.7240826911084904,2024-05-20 19:06:43.266667
Entry,1,12921,35,0.6659485065814107,2024-05-20 19:07:10.700000
Exit,60,13743,36,0.6141580471880541,2024-05-20 19:07:38.100000
Exit,9,15879,40,0.8967889631714696,2024-05-20 19:08:49.300000
Entry,10,16664,44,0.8128578268238981,2024-05-20 19:09:15.466667
