action,nest,frame_number,track_id,ml_confidence,timestamp
Entry,20,1723,2,0.8702411451519374,2024-05-25 12:40:57.433333
Exit,20,4141,9,0.7799875001081074,2024-05-25 12:42:18.033333
Entry,9,6592,13,0.9580279190110634,2024-05-25 12:43:39.733333
Entry,20,7329,18,0.981038676125289,2024-05-25 12:44:04.300000
Exit,20,11247,19,0.7936457959412903,2024-05-25 12:46:14.900000
Entry,20,15530,28,0.8539140788609371,2024-05-25 12:48:37.666667
Entry,9,17253,34,0.9834820821733846,2024-05-25 12:49:35.100000
Exit,9,17702,39,0.7932137854767436,2024-05-25 12:49:50.066667
