action,nest,frame_number,track_id,ml_confidence,timestamp
Exit,7,745,1,0.693916161484473,2024-05-20 09:40:24.833333
Entry,8,9530,32,0.9420242284281855,2024-05-20 09:45:17.666667
Exit,8,11235,42,0.8213998330316117,2024-05-20 09:46:14.500000
Exit,6,13030,47,0.8607805977442625,2024-05-20 09:47:14.333333
Entry,2,13244,49,0.9526991983987145,2024-05-20 09:47:21.466667
Exit,2,14119,53,0.850330078588583,2024-05-20 09:47:50.633333
Entry,20,14304,53,0.9518362832466358,2024-05-20 09:47:56.800000
Exit,20,15517,56,0.8863408945050962,2024-05-20 09:48:37.233333
Entry,5,16334,62,0.9996366363449576,2024-05-20 09:49:04.466667
Exit,5,17245,71,0.8227177757681087,2024-05-20 09:49:34.833333
