action,nest,frame_number,track_id,ml_confidence,timestamp
Entry,29,832,1,0.89671336144053,2024-05-24 09:30:28.733333
Exit,29,2541,2,0.9537765516151273,2024-05-24 09:31:25.700000
Entry,28,3578,3,0.9164624671869973,2024-05-24 09:32:00.266667
Entry,9,4456,4,0.8906644543830428,2024-05-24 09:32:29.533333
Exit,9,5826,5,0.9869366450683945,2024-05-24 09:33:15.200000
Exit,28,6157,6,0.9897885987101617,2024-05-24 09:33:26.233333
Entry,29,6937,7,0.9317408044447495,2024-05-24 09:33:52.233333
Entry,25,10919,10,0.9262478700335932,2024-05-24 09:36:04.966667
Exit,25,11164,12,0.9060483864461685,2024-05-24 09:36:13.133333
Entry,29,11225,12,0.9907540451450104,2024-05-24 09:36:15.166667
Exit,29,11341,15,0.7038549336136736,2024-05-24 09:36:19.033333
Entry,27,11578,16,0.9081354458927838,2024-05-24 09:36:26.933333
Exit,27,13853,18,0.8215559333371732,2024-05-24 09:37:42.766667
Entry,59,16754,19,0.989933410538506,2024-05-24 09:39:19.466667
Entry,27,17183,20,0.901421160178498,2024-05-24 09:39:33.766667
