action,nest,frame_number,track_id,ml_confidence,timestamp
Entry,28,279,1,0.9896366363449576,2024-05-21 09:10:09.300000
Entry,10,1301,2,0.8056002112466136,2024-05-21 09:10:43.366667
Exit,28,2003,4,0.8956302726879762,2024-05-21 09:11:06.766667
Exit,10,3007,6,0.9969366450683945,2024-05-21 09:11:40.233333
Entry,27,5631,8,0.9548247414298371,2024-05-21 09:13:07.700000
Exit,27,8128,10,0.832132950070731,2024-05-21 09:14:30.933333
Entry,19,10290,13,0.9897322170232721,2024-05-21 09:15:43.000000
Entry,29,10701,17,0.9726022144433315,2024-05-21 09:15:56.700000
Exit,19,11552,18,0.8645575805518717,2024-05-21 09:16:25.066667
Entry,19,11651,18,0.859797620529815,2024-05-21 09:16:28.366667
Exit,19,13037,19,0.9111468911316052,2024-05-21 09:17:14.566667
Exit,29,13180,21,0.8032265927181688,2024-05-21 09:17:19.333333
Entry,10,15887,23,0.8104819427912295,2024-05-21 09:18:49.566667
Entry,28,16053,25,0.999933410538506,2024-05-21 09:18:55.100000
Entry,59,16479,26,0.9776708243791457,2024-05-21 09:19:09.300000
Exit,10,17668,27,0.97589981617476,2024-05-21 09:19:48.933333
