action,nest,frame_number,track_id,ml_confidence,timestamp
Entry,20,2759,2,0.9607540451450105,2024-05-21 18:31:31.966667
Entry,60,3875,4,0.9274114256188755,2024-05-21 18:32:09.166667
Exit,60,4957,7,0.6449452552951098,2024-05-21 18:32:45.233333
Entry,60,5124,8,0.7610279484288592,2024-05-21 18:32:50.800000
Entry,28,5289,9,0.9241529819965266,2024-05-21 18:32:56.300000
Exit,20,5736,11,0.8974712034617056,2024-05-21 18:33:11.200000
Exit,28,8760,13,0.8958076198090719,2024-05-21 18:34:52.000000
Entry,20,8888,14,0.9034419411574993,2024-05-21 18:34:56.266667
Entry,10,9007,16,0.7088484356906014,2024-05-21 18:35:00.233333
Exit,10,11032,17,0.9679196012776273,2024-05-21 18:36:07.733333
Exit,20,14469,19,0.8948002887291812,2024-05-21 18:38:02.300000
Exit,60,15411,20,0.6408092060210601,2024-05-21 18:38:33.700000
Entry,60,15451,20,0.7107016791393396,2024-05-21 18:38:35.033333
Exit,60,15977,21,0.6037165633207838,2024-05-21 18:38:52.566667
Entry,20,17482,25,0.9435372178679277,2024-05-21 18:39:42.733333
Entry,40,17684,29,0.8125211911555962,2024-05-21 18:39:49.466667
