action,nest,frame_number,track_id,ml_confidence,timestamp
Exit,29,1178,4,0.9428162027726085,2024-05-23 12:40:39.266667
Entry,29,1756,5,0.7943642830186434,2024-05-23 12:40:58.533333
Entry,10,2152,6,0.7013842564790216,2024-05-23 12:41:11.733333
Exit,10,2765,15,0.788794330549093,2024-05-23 12:41:32.166667
Exit,29,4602,21,0.9905879694848645,2024-05-23 12:42:33.400000
Exit,5,5283,23,0.7471203507703396,2024-05-23 12:42:56.100000
Entry,8,6088,25,0.9158102661246869,2024-05-23 12:43:22.933333
Exit,8,6263,26,0.7867483013428815,2024-05-23 12:43:28.766667
Entry,27,8252,30,0.8468295103945099,2024-05-23 12:44:35.066667
Exit,27,9138,31,0.7876884155778118,2024-05-23 12:45:04.600000
Entry,29,9311,35,0.8530101985019304,2024-05-23 12:45:10.366667
Exit,29,10438,36,0.9629620399884092,2024-05-23 12:45:47.933333
Entry,59,11054,37,0.7822142343172852,2024-05-23 12:46:08.466667
Entry,10,11964,38,0.8437474328539005,2024-05-23 12:46:38.800000
Exit,10,12162,42,0.6676065003580264,2024-05-23 12:46:45.400000
Entry,10,12350,42,0.6607813177432164,2024-05-23 12:46:51.666667
Exit,10,12849,54,0.7755148358356447,2024-05-23 12:47:08.300000
Exit,59,13678,58,0.6314819827254756,2024-05-23 12:47:35.933333
Entry,59,16770,60,0.8047131708585711,2024-05-23 12:49:19.000000
