action,nest,frame_number,track_id,ml_confidence,timestamp
Entry,18,622,1,0.7344052887469331,2024-05-24 18:20:20.733333
Exit,18,656,5,0.6470759304748332,2024-05-24 18:20:21.866667
Entry,17,896,11,0.9410777860411474,2024-05-24 18:20:29.866667
Exit,17,2289,14,0.7911402733710553,2024-05-24 18:21:16.300000
Entry,20,3024,28,0.9906053147254008,2024-05-24 18:21:40.800000
Exit,20,3685,30,0.8076479419950117,2024-05-24 18:22:02.833333
Exit,20,4034,38,0.6657145152568767,2024-05-24 18:22:14.466667
Entry,20,4114,38,0.7820912205706313,2024-05-24 18:22:17.133333
Exit,20,12509,46,0.8611289554236572,2024-05-24 18:26:56.966667
Entry,20,14208,49,0.8420723321934217,2024-05-24 18:27:53.600000
