action,nest,frame_number,track_id,ml_confidence,timestamp
Entry,18,2003,22,0.999933410538506,2024-05-20 11:31:06.766667
Exit,18,5385,46,0.7908300716733259,2024-05-20 11:32:59.500000
Entry,7,5708,50,0.9702646947718777,2024-05-20 11:33:10.266667
Entry,24,6462,55,0.695835388420681,2024-05-20 11:33:35.400000
Exit,24,6891,58,0.9093159888598715,2024-05-20 11:33:49.700000
Exit,7,7616,64,0.9300132058249971,2024-05-20 11:34:13.866667
Entry,12,7752,67,0.9996366363449576,2024-05-20 11:34:18.400000
Exit,12,10169,73,0.8366072022271216,2024-05-20 11:35:38.966667
Entry,9,13850,82,0.9392193187619737,2024-05-20 11:37:41.666667
Entry,25,15474,86,0.8245571900882177,2024-05-20 11:38:35.800000
Exit,25,16170,88,0.7217976958036958,2024-05-20 11:38:59.000000
Entry,5,16325,88,0.9403523766169346,2024-05-20 11:39:04.166667
Exit,5,16766,90,0.7351687285764658,2024-05-20 11:39:18.866667
