action,nest,frame_number,track_id,ml_confidence,timestamp
Entry,8,214,1,0.8644706875182945,2024-05-20 13:10:08.133333
Entry,18,3106,9,0.9068883753628459,2024-05-20 13:11:44.533333
Exit,8,4646,13,0.8223610617738442,2024-05-20 13:12:35.866667
Entry,9,5772,20,0.8425197156224058,2024-05-20 13:13:13.400000
Exit,18,7131,22,0.8332661212037011,2024-05-20 13:13:58.700000
Exit,9,8194,24,0.9050646379249327,2024-05-20 13:14:34.133333
Entry,3,10588,25,0.9434989049466254,2024-05-20 13:15:53.933333
Entry,20,10877,29,0.9888890004885945,2024-05-20 13:16:03.566667
Exit,3,12679,33,0.7694485867069943,2024-05-20 13:17:03.633333
Entry,10,13679,43,0.9388956800153538,2024-05-20 13:17:36.966667
Exit,10,15510,46,0.9710686472363403,2024-05-20 13:18:38.000000
Entry,9,15762,47,0.8776633610800101,2024-05-20 13:18:46.400000
Exit,20,15811,48,0.9820449789321292,2024-05-20 13:18:48.033333
Exit,9,16242,49,0.9001233198267594,2024-05-20 13:19:02.400000
Entry,10,16698,58,0.9499839300302888,2024-05-20 13:19:17.600000
Exit,10,16763,65,0.8878386105814363,2024-05-20 13:19:19.766667
Entry,10,16787,65,0.8736168112849058,2024-05-20 13:19:20.566667
Entry,10,16900,70,0.8183397838748774,2024-05-20 13:19:24.333333
