action,nest,frame_number,track_id,ml_confidence,timestamp
Exit,3,1989,27,0.621252612547066,2024-05-08 11:31:06.300000
Exit,50,2082,33,0.7214541874707129,2024-05-08 11:31:09.400000
Entry,50,2164,33,0.7624600562931547,2024-05-08 11:31:12.133333
Exit,3,2482,39,0.6168276592384422,2024-05-08 11:31:22.733333
Entry,2,7849,67,0.9672943784312076,2024-05-08 11:34:21.633333
Exit,21,7759,69,0.6776710136054322,2024-05-08 11:34:18.633333
Exit,2,8776,73,0.6190778253234556,2024-05-08 11:34:52.533333
Entry,2,8986,73,0.6014857692368759,2024-05-08 11:34:59.533333
Exit,2,9206,75,0.6839622088349464,2024-05-08 11:35:06.866667
Entry,2,9312,75,0.6982027559802385,2024-05-08 11:35:10.400000
Entry,15,12037,123,0.9443051477155003,2024-05-08 11:36:41.233333
Exit,15,12239,129,0.9036184070965375,2024-05-08 11:36:47.966667
Entry,1,13077,140,0.9712147653048407,2024-05-08 11:37:15.900000
Entry,1,13815,144,0.9419315958773692,2024-05-08 11:37:40.500000
Exit,1,14044,148,0.9768169212872664,2024-05-08 11:37:48.133333
Entry,1,14143,148,0.9795392626315589,2024-05-08 11:37:51.433333
Entry,11,14700,155,0.894000002255456,2024-05-08 11:38:10.000000
Exit,11,14789,166,0.8147859325307475,2024-05-08 11:38:12.966667
Entry,1,14940,182,0.9715664357386354,2024-05-08 11:38:18.000000
Exit,1,15300,198,0.9737386841688169,2024-05-08 11:38:30.000000
Entry,1,15376,198,0.9724785616168526,2024-05-08 11:38:32.533333
Exit,1,16295,239,0.9770098804318319,2024-05-08 11:39:03.166667
