action,nest,frame_number,track_id,ml_confidence,timestamp
Exit,59,243,1,0.9282972263111071,2024-05-24 15:50:08.100000
Entry,23,2425,4,0.8154692304300015,2024-05-24 15:51:20.833333
Exit,23,3433,29,0.7547423517181892,2024-05-24 15:51:54.433333
Exit,58,3446,30,0.6009157906865843,2024-05-24 15:51:54.866667
Entry,58,3502,30,0.6499137513836551,2024-05-24 15:51:56.733333
Entry,26,6355,32,0.8439836866027468,2024-05-24 15:53:31.833333
Exit,58,7007,36,0.7082019709850707,2024-05-24 15:53:53.566667
Entry,19,11103,44,0.9190992185556666,2024-05-24 15:56:10.100000
Exit,19,11290,45,0.8343944308755706,2024-05-24 15:56:16.333333
Entry,20,11359,45,0.901134206028668,2024-05-24 15:56:18.633333
Exit,59,16212,47,0.6734487731748467,2024-05-24 15:59:00.400000
