action,nest,frame_number,track_id,ml_confidence,timestamp
Entry,14,119,1,0.8968384984141067,2024-05-02 18:10:03.966667
Exit,41,265,4,0.9286250593844677,2024-05-02 18:10:08.833333
Entry,41,360,4,0.9451964879558962,2024-05-02 18:10:12.000000
Entry,37,865,5,0.8486220507145349,2024-05-02 18:10:28.833333
Exit,41,909,6,0.9617628946469315,2024-05-02 18:10:30.300000
Exit,45,1340,7,0.9275487663303568,2024-05-02 18:10:44.666667
Entry,41,1681,8,0.9946903997858177,2024-05-02 18:10:56.033333
Exit,41,2783,10,0.9004099428729697,2024-05-02 18:11:32.766667
Entry,41,2852,10,0.8976732153373805,2024-05-02 18:11:35.066667
Exit,37,4057,12,0.8959369527017745,2024-05-02 18:12:15.233333
Exit,41,4114,13,0.7299022668710634,2024-05-02 18:12:17.133333
Entry,41,4467,15,0.9963509220592434,2024-05-02 18:12:28.900000
Entry,11,4616,18,0.834063846463397,2024-05-02 18:12:33.866667
Exit,41,5098,19,0.7733921318277157,2024-05-02 18:12:49.933333
Exit,11,6421,21,0.932880376326044,2024-05-02 18:13:34.033333
Entry,38,7712,23,0.9528590235134441,2024-05-02 18:14:17.066667
Exit,38,7993,26,0.8468584212618064,2024-05-02 18:14:26.433333
Entry,37,8061,26,0.9679996256688009,2024-05-02 18:14:28.700000
Entry,41,8751,31,0.9466867886409895,2024-05-02 18:14:51.700000
Entry,24,10309,38,0.9874137061050086,2024-05-02 18:15:43.633333
Exit,14,10570,40,0.8175331221109812,2024-05-02 18:15:52.333333
Exit,12,10769,45,0.8821539122064374,2024-05-02 18:15:58.966667
Exit,24,10972,48,0.8016600534730226,2024-05-02 18:16:05.733333
Entry,14,11216,53,0.774103211313645,2024-05-02 18:16:13.866667
Entry,14,11184,55,0.6653218664966736,2024-05-02 18:16:12.800000
Exit,37,11314,56,0.7978827235179464,2024-05-02 18:16:17.133333
Entry,56,11474,57,0.6162004562044723,2024-05-02 18:16:22.466667
Exit,14,11783,58,0.8824446479463235,2024-05-02 18:16:32.766667
Entry,21,11994,62,0.9658203139635084,2024-05-02 18:16:39.800000
Exit,56,12028,63,0.7559149061425824,2024-05-02 18:16:40.933333
Entry,56,12076,63,0.7699666302805133,2024-05-02 18:16:42.533333
Entry,41,14406,64,0.9106607570350518,2024-05-02 18:18:00.200000
Exit,17,15875,65,0.623191911267496,2024-05-02 18:18:49.166667
Entry,35,16034,68,0.9645338370153544,2024-05-02 18:18:54.466667
Exit,17,16373,70,0.6403369949992063,2024-05-02 18:19:05.766667
Entry,55,16416,71,0.6164831364435459,2024-05-02 18:19:07.200000
Exit,41,16458,72,0.824834683236157,2024-05-02 18:19:08.600000
Exit,17,17215,78,0.6401594753365267,2024-05-02 18:19:33.833333
Exit,17,17700,80,0.6418493101189514,2024-05-02 18:19:50.000000
