action,nest,frame_number,track_id,ml_confidence,timestamp
Exit,20,1955,1,0.8982954407303838,2024-05-31 10:31:05.166667
Entry,20,1969,1,0.8192262169882609,2024-05-31 10:31:05.633333
Exit,6,2029,3,0.8982954407303838,2024-05-31 10:31:07.633333
Entry,6,2043,3,0.8192262169882609,2024-05-31 10:31:08.100000
Exit,5,2520,4,0.8982954407303838,2024-05-31 10:31:24.000000
Entry,5,2534,4,0.8192262169882609,2024-05-31 10:31:24.466667
Exit,6,2862,6,0.8882954407303836,2024-05-31 10:31:35.400000
Entry,6,2876,6,0.8092262169882609,2024-05-31 10:31:35.866667
Exit,15,2921,7,0.8262636059809044,2024-05-31 10:31:37.366667
Exit,15,3332,10,0.902243938584461,2024-05-31 10:31:51.066667
Entry,15,3346,10,0.8231747148423382,2024-05-31 10:31:51.533333
Exit,15,3703,11,0.902243938584461,2024-05-31 10:32:03.433333
Entry,15,3717,11,0.8231747148423382,2024-05-31 10:32:03.900000
Exit,6,4701,17,0.902243938584461,2024-05-31 10:32:36.700000
Entry,6,4715,17,0.8231747148423382,2024-05-31 10:32:37.166667
Exit,16,4840,19,0.8882954407303836,2024-05-31 10:32:41.333333
Entry,16,4854,19,0.8092262169882609,2024-05-31 10:32:41.800000
Exit,15,5702,23,0.902243938584461,2024-05-31 10:33:10.066667
Entry,15,5716,23,0.8231747148423382,2024-05-31 10:33:10.533333
Exit,16,6000,24,0.8982954407303838,2024-05-31 10:33:20.000000
Entry,16,6014,24,0.8192262169882609,2024-05-31 10:33:20.466667
Exit,15,6196,25,0.8982954407303838,2024-05-31 10:33:26.533333
Entry,15,6210,25,0.8192262169882609,2024-05-31 10:33:27.000000
Exit,5,6248,26,0.8982954407303838,2024-05-31 10:33:28.266667
Entry,5,6262,26,0.8192262169882609,2024-05-31 10:33:28.733333
Exit,16,6693,27,0.902243938584461,2024-05-31 10:33:43.100000
Entry,16,6707,27,0.8231747148423382,2024-05-31 10:33:43.566667
Exit,19,7233,31,0.8789582242987467,2024-05-31 10:34:01.100000
Entry,19,7247,31,0.7998890005566239,2024-05-31 10:34:01.566667
Exit,15,7284,32,0.8791593400652152,2024-05-31 10:34:02.800000
Entry,15,7298,32,0.8033758306088068,2024-05-31 10:34:03.266667
Exit,15,7848,34,0.849626588661422,2024-05-31 10:34:21.600000
Entry,15,7862,34,0.7715045551698071,2024-05-31 10:34:22.066667
Exit,15,8697,35,0.8466461640680941,2024-05-31 10:34:49.900000
Entry,15,8711,35,0.7685241305764794,2024-05-31 10:34:50.366667
Exit,6,8763,36,0.902243938584461,2024-05-31 10:34:52.100000
Entry,6,8777,36,0.8231747148423382,2024-05-31 10:34:52.566667
Exit,16,9034,37,0.8982954407303838,2024-05-31 10:35:01.133333
Entry,16,9048,37,0.8192262169882609,2024-05-31 10:35:01.600000
Exit,16,9079,38,0.8982954407303838,2024-05-31 10:35:02.633333
Entry,16,9093,38,0.8192262169882609,2024-05-31 10:35:03.100000
Exit,16,10024,39,0.902243938584461,2024-05-31 10:35:34.133333
Entry,16,10038,39,0.8231747148423382,2024-05-31 10:35:34.600000
Exit,6,10171,40,0.641085280256054,2024-05-31 10:35:39.033333
Exit,16,10430,42,0.8982954407303838,2024-05-31 10:35:47.666667
Entry,16,10444,42,0.8192262169882609,2024-05-31 10:35:48.133333
Exit,6,10483,43,0.7656598330609353,2024-05-31 10:35:49.433333
Entry,6,10497,43,0.6923960280380241,2024-05-31 10:35:49.900000
Exit,16,11293,45,0.8447683601927182,2024-05-31 10:36:16.433333
Entry,16,11307,45,0.7715045551698071,2024-05-31 10:36:16.900000
Exit,6,11408,46,0.902243938584461,2024-05-31 10:36:20.266667
Entry,6,11422,46,0.8231747148423382,2024-05-31 10:36:20.733333
Exit,5,11908,47,0.6103479863710395,2024-05-31 10:36:36.933333
Exit,16,12775,48,0.7684251719330826,2024-05-31 10:37:05.833333
Exit,16,12834,49,0.8982954407303838,2024-05-31 10:37:07.800000
Entry,16,12848,49,0.8192262169882609,2024-05-31 10:37:08.266667
Exit,15,12921,50,0.8447683601927182,2024-05-31 10:37:10.700000
Entry,15,12935,50,0.7715045551698071,2024-05-31 10:37:11.166667
Exit,15,13319,51,0.8447683601927182,2024-05-31 10:37:23.966667
Entry,15,13333,51,0.7715045551698071,2024-05-31 10:37:24.433333
Exit,19,14073,53,0.849626588661422,2024-05-31 10:37:49.100000
Entry,19,14087,53,0.7715045551698071,2024-05-31 10:37:49.566667
Exit,16,16426,60,0.902243938584461,2024-05-31 10:39:07.533333
Entry,16,16440,60,0.8231747148423382,2024-05-31 10:39:08.000000
Exit,15,16755,62,0.8791593400652152,2024-05-31 10:39:18.500000
Entry,15,16769,62,0.8033758306088068,2024-05-31 10:39:18.966667
Exit,16,17048,63,0.8447683601927182,2024-05-31 10:39:28.266667
Entry,16,17062,63,0.7715045551698071,2024-05-31 10:39:28.733333
Exit,16,17413,65,0.8982954407303838,2024-05-31 10:39:40.433333
Entry,16,17427,65,0.8192262169882609,2024-05-31 10:39:40.900000
Exit,21,17554,66,0.902243938584461,2024-05-31 10:39:45.133333
Entry,21,17568,66,0.8231747148423382,2024-05-31 10:39:45.600000
Exit,6,17652,67,0.7070622720853253,2024-05-31 10:39:48.400000
Entry,6,17666,67,0.6377469649164916,2024-05-31 10:39:48.866667
