action,nest,frame_number,track_id,ml_confidence,timestamp
Entry,1,891,2,0.8563688028495419,2024-05-07 15:40:29.700000
Exit,22,1811,4,0.7820835064444027,2024-05-07 15:41:00.366667
Entry,13,1906,5,0.9513666183216862,2024-05-07 15:41:03.533333
Entry,2,2343,6,0.9680751254544145,2024-05-07 15:41:18.100000
Exit,2,3391,8,0.858217187240776,2024-05-07 15:41:53.033333
Exit,1,3468,9,0.9956713131713666,2024-05-07 15:41:55.600000
Exit,11,6555,14,0.8808652686023237,2024-05-07 15:43:38.500000
Entry,12,7722,15,0.9295673719791888,2024-05-07 15:44:17.400000
Exit,12,7744,17,0.8864530325834363,2024-05-07 15:44:18.133333
Entry,5,7841,17,0.9966476962527918,2024-05-07 15:44:21.366667
Exit,5,8425,18,0.9655371079094195,2024-05-07 15:44:40.833333
Entry,5,8518,18,0.970142724515036,2024-05-07 15:44:43.933333
Exit,13,8534,21,0.8812022380024264,2024-05-07 15:44:44.466667
Exit,5,8802,23,0.7854692368004748,2024-05-07 15:44:53.400000
Entry,8,8941,23,0.8439044951405128,2024-05-07 15:44:58.033333
Exit,8,9520,24,0.8864725420501489,2024-05-07 15:45:17.333333
Entry,8,9608,24,0.8888824917634163,2024-05-07 15:45:20.266667
Exit,8,9830,26,0.8934804139143755,2024-05-07 15:45:27.666667
Entry,3,9935,26,0.9573043329359373,2024-05-07 15:45:31.166667
Exit,3,11211,28,0.8184776630871938,2024-05-07 15:46:13.700000
Entry,22,13341,30,0.92229587426729,2024-05-07 15:47:24.700000
Entry,12,13575,32,0.872785332562842,2024-05-07 15:47:32.500000
Exit,12,16055,35,0.7752561738717881,2024-05-07 15:48:55.166667
Exit,46,16812,37,0.6268582788494651,2024-05-07 15:49:20.400000
Exit,46,17277,38,0.8408394169936335,2024-05-07 15:49:35.900000
