action,nest,frame_number,track_id,ml_confidence,timestamp,site,video_date,video_time,video_datetime,video_hour,video_name,source_file,seconds_in_video,event_datetime
Entry,50,800,1,0.6079844780607067,2024-04-17 14:00:26.666667,mendels,2024-04-17,14:00:00,2024-04-17 14:00:00,14,mendels_2024-04-17_14_00_00,mendels_2024-04-17_14_00_00_events.csv,26.666666666666668,2024-04-17 14:00:26.666667
Exit,50,1247,4,0.8599942296438553,2024-04-17 14:00:41.566667,mendels,2024-04-17,14:00:00,2024-04-17 14:00:00,14,mendels_2024-04-17_14_00_00,mendels_2024-04-17_14_00_00_events.csv,41.56666666666667,2024-04-17 14:00:41.566667
Entry,50,1262,4,0.7709250059017327,2024-04-17 14:00:42.066667,mendels,2024-04-17,14:00:00,2024-04-17 14:00:00,14,mendels_2024-04-17_14_00_00,mendels_2024-04-17_14_00_00_events.csv,42.06666666666667,2024-04-17 14:00:42.066667
Exit,50,1320,5,0.8599942296438553,2024-04-17 14:00:44.000000,mendels,2024-04-17,14:00:00,2024-04-17 14:00:00,14,mendels_2024-04-17_14_00_00,mendels_2024-04-17_14_00_00_events.csv,44.0,2024-04-17 14:00:44.000000
Entry,50,1335,5,0.7709250059017327,2024-04-17 14:00:44.500000,mendels,2024-04-17,14:00:00,2024-04-17 14:00:00,14,mendels_2024-04-17_14_00_00,mendels_2024-04-17_14_00_00_events.csv,44.5,2024-04-17 14:00:44.500000
Exit,50,1494,6,0.6662392400237859,2024-04-17 14:00:49.800000,mendels,2024-04-17,14:00:00,2024-04-17 14:00:00,14,mendels_2024-04-17_14_00_00,mendels_2024-04-17_14_00_00_events.csv,49.8,2024-04-17 14:00:49.800000
Exit,50,2497,4,0.8599942296438553,2024-04-17 14:01:23.233333,mendels,2024-04-17,14:00:00,2024-04-17 14:00:00,14,mendels_2024-04-17_14_00_00,mendels_2024-04-17_14_00_00_events.csv,83.23333333333333,2024-04-17 14:01:23.233333
Entry,50,2518,4,0.7709250059017327,2024-04-17 14:01:23.933333,mendels,2024-04-17,14:00:00,2024-04-17 14:00:00,14,mendels_2024-04-17_14_00_00,mendels_2024-04-17_14_00_00_events.csv,83.93333333333334,2024-04-17 14:01:23.933333
Exit,50,2674,6,0.6662392400237859,2024-04-17 14:01:29.133333,mendels,2024-04-17,14:00:00,2024-04-17 14:00:00,14,mendels_2024-04-17_14_00_00,mendels_2024-04-17_14_00_00_events.csv,89.13333333333334,2024-04-17 14:01:29.133333
Exit,50,3049,1,0.6785833131368036,2024-04-17 14:01:41.633333,mendels,2024-04-17,14:00:00,2024-04-17 14:00:00,14,mendels_2024-04-17_14_00_00,mendels_2024-04-17_14_00_00_events.csv,101.63333333333334,2024-04-17 14:01:41.633333
Entry,50,3531,1,0.6079844780607067,2024-04-17 14:01:57.700000,mendels,2024-04-17,14:00:00,2024-04-17 14:00:00,14,mendels_2024-04-17_14_00_00,mendels_2024-04-17_14_00_00_events.csv,117.7,2024-04-17 14:01:57.700000
Exit,50,3792,4,0.8599942296438553,2024-04-17 14:02:06.400000,mendels,2024-04-17,14:00:00,2024-04-17 14:00:00,14,mendels_2024-04-17_14_00_00,mendels_2024-04-17_14_00_00_events.csv,126.4,2024-04-17 14:02:06.400000
Entry,50,3997,4,0.7709250059017327,2024-04-17 14:02:13.233333,mendels,2024-04-17,14:00:00,2024-04-17 14:00:00,14,mendels_2024-04-17_14_00_00,mendels_2024-04-17_14_00_00_events.csv,133.23333333333332,2024-04-17 14:02:13.233333
Exit,50,4013,5,0.8599942296438553,2024-04-17 14:02:13.766667,mendels,2024-04-17,14:00:00,2024-04-17 14:00:00,14,mendels_2024-04-17_14_00_00,mendels_2024-04-17_14_00_00_events.csv,133.76666666666668,2024-04-17 14:02:13.766667
Entry,50,4036,5,0.7709250059017327,2024-04-17 14:02:14.533333,mendels,2024-04-17,14:00:00,2024-04-17 14:00:00,14,mendels_2024-04-17_14_00_00,mendels_2024-04-17_14_00_00_events.csv,134.53333333333333,2024-04-17 14:02:14.533333
Exit,50,4080,6,0.6662392400237859,2024-04-17 14:02:16.000000,mendels,2024-04-17,14:00:00,2024-04-17 14:00:00,14,mendels_2024-04-17_14_00_00,mendels_2024-04-17_14_00_00_events.csv,136.0,2024-04-17 14:02:16.000000
Exit,50,12228,2,0.6316629285167589,2024-04-17 14:16:47.600,mendels,2024-04-17,14:10:00,2024-04-17 14:10:00,14,mendels_2024-04-17_14_10_00,mendels_2024-04-17_14_10_00_events.csv,407.6,2024-04-17 14:16:47.600000
Entry,57,3207,34,0.9779795100642552,2024-04-17 15:11:46.900000,mendels,2024-04-17,15:10:00,2024-04-17 15:10:00,15,mendels_2024-04-17_15_10_00,mendels_2024-04-17_15_10_00_events.csv,106.9,2024-04-17 15:11:46.900000
Entry,51,9578,1,0.9106401225317496,2024-04-17 15:15:19.266667,mendels,2024-04-17,15:10:00,2024-04-17 15:10:00,15,mendels_2024-04-17_15_10_00,mendels_2024-04-17_15_10_00_events.csv,319.26666666666665,2024-04-17 15:15:19.266667
Exit,51,15808,1,0.8213181242935305,2024-04-17 15:18:46.933333,mendels,2024-04-17,15:10:00,2024-04-17 15:10:00,15,mendels_2024-04-17_15_10_00,mendels_2024-04-17_15_10_00_events.csv,526.9333333333333,2024-04-17 15:18:46.933333
Entry,51,16051,1,0.9106401225317496,2024-04-17 15:18:55.033333,mendels,2024-04-17,15:10:00,2024-04-17 15:10:00,15,mendels_2024-04-17_15_10_00,mendels_2024-04-17_15_10_00_events.csv,535.0333333333333,2024-04-17 15:18:55.033333
Exit,57,13860,3,0.6783635637687719,2024-04-17 15:47:42.000000,mendels,2024-04-17,15:40:00,2024-04-17 15:40:00,15,mendels_2024-04-17_15_40_00,mendels_2024-04-17_15_40_00_events.csv,462.0,2024-04-17 15:47:42.000000
Entry,57,16049,3,0.6230836773212092,2024-04-17 15:48:54.966667,mendels,2024-04-17,15:40:00,2024-04-17 15:40:00,15,mendels_2024-04-17_15_40_00,mendels_2024-04-17_15_40_00_events.csv,534.9666666666667,2024-04-17 15:48:54.966667
Exit,57,16083,15,0.6790361627974861,2024-04-17 15:48:56.100000,mendels,2024-04-17,15:40:00,2024-04-17 15:40:00,15,mendels_2024-04-17_15_40_00,mendels_2024-04-17_15_40_00_events.csv,536.1,2024-04-17 15:48:56.100000
Entry,57,17992,15,0.6378080004878545,2024-04-17 15:49:59.733333,mendels,2024-04-17,15:40:00,2024-04-17 15:40:00,15,mendels_2024-04-17_15_40_00,mendels_2024-04-17_15_40_00_events.csv,599.7333333333333,2024-04-17 15:49:59.733333
Exit,57,1,1,0.6487564162918202,2024-04-17 15:50:00.033333,mendels,2024-04-17,15:50:00,2024-04-17 15:50:00,15,mendels_2024-04-17_15_50_00,mendels_2024-04-17_15_50_00_events.csv,0.03333333333333333,2024-04-17 15:50:00.033333
Exit,57,7689,9,0.6428634974605637,2024-04-17 16:24:16.300,mendels,2024-04-17,16:20:00,2024-04-17 16:20:00,16,mendels_2024-04-17_16_20_00,mendels_2024-04-17_16_20_00_events.csv,256.3,2024-04-17 16:24:16.300000
Entry,20,6169,4,0.8754877807729716,2024-04-17 16:33:26.633333,mendels,2024-04-17,16:30:01,2024-04-17 16:30:01,16,mendels_2024-04-17_16_30_01,mendels_2024-04-17_16_30_01_events.csv,205.63333333333333,2024-04-17 16:33:26.633333
Exit,20,6370,8,0.8461893300759713,2024-04-17 16:33:33.333333,mendels,2024-04-17,16:30:01,2024-04-17 16:30:01,16,mendels_2024-04-17_16_30_01,mendels_2024-04-17_16_30_01_events.csv,212.33333333333334,2024-04-17 16:33:33.333333
Entry,46,8414,13,0.7193891895102277,2024-04-17 16:34:41.466667,mendels,2024-04-17,16:30:01,2024-04-17 16:30:01,16,mendels_2024-04-17_16_30_01,mendels_2024-04-17_16_30_01_events.csv,280.46666666666664,2024-04-17 16:34:41.466667
Exit,46,9240,3,0.6227744261313088,2024-04-17 16:55:08,mendels,2024-04-17,16:50:00,2024-04-17 16:50:00,16,mendels_2024-04-17_16_50_00,mendels_2024-04-17_16_50_00_events.csv,308.0,2024-04-17 16:55:08.000000
