video_title,site_name,recorded_at,frame,track_id,x1,y1,x2,y2,cx,cy,confidence,source,taxon,bee_id,bee_id_method,bee_id_confidence,mode
cvprmendels_2024-04-30_09_00_00,cvprmendels,2024-04-30T09:00:00+00:00,1795,1,964.918701171875,593.803466796875,1013.1783447265625,666.18896484375,989.0485229492188,629.9962158203125,0.7867494225502014,yolo,bee,,,0.0,lookback
cvprmendels_2024-04-30_09_00_00,cvprmendels,2024-04-30T09:00:00+00:00,1796,1,913.180419921875,604.422607421875,961.9794921875,678.2271118164062,937.6313218899115,641.3135535874053,0.8247441649436951,yolo,bee,,,0.0,lookback
cvprmendels_2024-04-30_09_00_00,cvprmendels,2024-04-30T09:00:00+00:00,1796,1,913.180419921875,604.422607421875,961.9794921875,678.2271118164062,937.4796353022066,641.3469410202571,0.8247441649436951,yolo,bee,,,0.0,tracking
cvprmendels_2024-04-30_09_00_00,cvprmendels,2024-04-30T09:00:00+00:00,1797,1,898.5986938476562,605.1033325195312,940.7320556640625,675.3201293945312,921.6174301425001,640.3489262874718,0.8203587532043457,yolo,bee,,,0.0,tracking
cvprmendels_2024-04-30_09_00_00,cvprmendels,2024-04-30T09:00:00+00:00,1798,1,902.9337158203125,596.2078857421875,943.645263671875,665.0292358398438,921.4043472741286,632.0899052968035,0.8431532979011536,yolo,bee,,,0.0,tracking
cvprmendels_2024-04-30_09_00_00,cvprmendels,2024-04-30T09:00:00+00:00,1799,1,900.3999633789062,586.902099609375,944.99755859375,645.9246826171875,921.6292669074065,618.3405455188683,0.8349775075912476,yolo,bee,,,0.0,tracking
cvprmendels_2024-04-30_09_00_00,cvprmendels,2024-04-30T09:00:00+00:00,1800,1,883.3397216796875,577.757568359375,932.4679565429688,636.2756958007812,909.9494772464576,607.3683538072974,0.8214650750160217,yolo,bee,,,0.0,tracking
cvprmendels_2024-04-30_09_00_00,cvprmendels,2024-04-30T09:00:00+00:00,1801,1,850.9496459960938,572.6351318359375,899.2321166992188,632.9066162109375,880.0395670098112,601.7763094424974,0.8095981478691101,yolo,bee,,,0.0,tracking
cvprmendels_2024-04-30_09_00_00,cvprmendels,2024-04-30T09:00:00+00:00,1802,1,795.6761474609375,563.8764038085938,844.225341796875,628.1201782226562,827.3059452622244,595.6337434434627,0.8452447652816772,yolo,bee,,,0.0,tracking
cvprmendels_2024-04-30_09_00_00,cvprmendels,2024-04-30T09:00:00+00:00,1803,1,723.6599731445312,550.2380981445312,773.7041015625,618.130126953125,756.2348086258603,584.983848072385,0.8439671993255615,yolo,bee,,,0.0,tracking
cvprmendels_2024-04-30_09_00_00,cvprmendels,2024-04-30T09:00:00+00:00,1804,1,643.0368041992188,538.8509521484375,695.0927734375,605.2784423828125,674.9521785206223,572.7886774451083,0.8182364702224731,yolo,bee,,,0.0,tracking
cvprmendels_2024-04-30_09_00_00,cvprmendels,2024-04-30T09:00:00+00:00,1805,1,570.7974243164062,533.8619995117188,623.7974853515625,605.6676025390625,599.0046987451494,568.4203243971409,0.8340838551521301,yolo,bee,,,0.0,tracking
