frame,track_id,x1,y1,x2,y2,confidence,species
200,0,731.0,453.0,746.0,467.0,1.0,blob
200,1,609.0,450.0,628.0,468.0,1.0,blob
200,2,848.0,449.0,863.0,464.0,1.0,blob
200,3,786.0,449.0,805.0,466.0,1.0,blob
200,4,672.0,449.0,687.0,467.0,1.0,blob
200,5,1205.0,373.0,1225.0,392.0,1.0,blob
200,6,1090.0,358.0,1110.0,376.0,1.0,blob
200,7,1193.0,343.0,1212.0,369.0,1.0,blob
200,8,858.0,278.0,875.0,295.0,1.0,blob
200,9,501.0,278.0,518.0,292.0,1.0,blob
200,10,739.0,277.0,758.0,297.0,1.0,blob
200,11,441.0,276.0,458.0,294.0,1.0,blob
200,12,557.0,275.0,573.0,296.0,1.0,blob
200,13,443.0,190.0,461.0,206.0,1.0,blob
200,14,452.0,102.0,468.0,115.0,1.0,blob
200,15,912.0,54.0,927.0,68.0,1.0,blob
201,0,731.0,453.0,746.0,467.0,1.0,blob
201,1,609.0,450.0,629.0,468.0,1.0,blob
201,2,848.0,449.0,863.0,464.0,1.0,blob
201,3,786.0,449.0,805.0,466.0,1.0,blob
201,4,672.0,449.0,689.0,467.0,1.0,blob
201,5,1205.0,373.0,1225.0,392.0,1.0,blob
201,6,1134.0,309.0,1154.0,338.0,1.0,blob
201,7,1241.0,394.0,1260.0,414.0,1.0,blob
201,8,858.0,278.0,875.0,295.0,1.0,blob
201,9,500.0,278.0,518.0,292.0,1.0,blob
201,10,739.0,277.0,758.0,297.0,1.0,blob
201,11,441.0,276.0,458.0,295.0,1.0,blob
201,12,557.0,275.0,576.0,296.0,1.0,blob
201,13,443.0,190.0,461.0,206.0,1.0,blob
201,14,452.0,102.0,469.0,116.0,1.0,blob
201,15,886.0,46.0,907.0,64.0,1.0,blob
201,16,675.0,538.0,693.0,551.0,1.0,blob
202,0,731.0,453.0,746.0,467.0,1.0,blob
202,1,609.0,450.0,629.0,468.0,1.0,blob
202,2,848.0,449.0,863.0,464.0,1.0,blob
202,3,786.0,449.0,805.0,466.0,1.0,blob
202,4,672.0,449.0,689.0,468.0,1.0,blob
202,5,1206.0,373.0,1225.0,393.0,1.0,blob
202,6,1134.0,309.0,1154.0,338.0,1.0,blob
202,7,1241.0,394.0,1260.0,411.0,1.0,blob
202,8,858.0,278.0,875.0,295.0,1.0,blob
202,9,500.0,278.0,518.0,292.0,1.0,blob
202,10,739.0,277.0,758.0,297.0,1.0,blob
202,11,441.0,276.0,458.0,294.0,1.0,blob
202,12,558.0,275.0,576.0,296.0,1.0,blob
202,13,445.0,190.0,461.0,206.0,1.0,blob
202,14,452.0,102.0,469.0,116.0,1.0,blob
202,15,886.0,46.0,907.0,64.0,1.0,blob
202,16,675.0,538.0,693.0,551.0,1.0,blob
203,0,731.0,453.0,746.0,467.0,1.0,blob
203,1,609.0,450.0,629.0,468.0,1.0,blob
203,2,848.0,449.0,863.0,464.0,1.0,blob
203,3,786.0,449.0,805.0,466.0,1.0,blob
203,4,672.0,449.0,689.0,467.0,1.0,blob
203,5,1206.0,373.0,1225.0,392.0,1.0,blob
203,6,1116.0,307.0,1129.0,325.0,1.0,blob
203,7,1193.0,343.0,1211.0,368.0,1.0,blob
203,8,858.0,278.0,875.0,295.0,1.0,blob
203,9,500.0,278.0,518.0,292.0,1.0,blob
203,10,739.0,283.0,757.0,297.0,1.0,blob
203,11,441.0,276.0,458.0,292.0,1.0,blob
203,12,557.0,275.0,576.0,296.0,1.0,blob
203,13,445.0,190.0,460.0,206.0,1.0,blob
203,14,452.0,102.0,469.0,116.0,1.0,blob
203,15,886.0,47.0,906.0,64.0,1.0,blob
203,16,675.0,538.0,692.0,551.0,1.0,blob
203,17,844.0,43.0,866.0,64.0,1.0,blob
204,0,731.0,453.0,746.0,467.0,1.0,blob
204,1,609.0,450.0,629.0,468.0,1.0,blob
204,2,848.0,449.0,863.0,464.0,1.0,blob
204,3,786.0,449.0,805.0,466.0,1.0,blob
204,4,672.0,449.0,691.0,467.0,1.0,blob
204,5,1205.0,373.0,1225.0,392.0,1.0,blob
204,6,1116.0,307.0,1129.0,325.0,1.0,blob
204,7,1193.0,340.0,1212.0,368.0,1.0,blob
204,8,858.0,278.0,875.0,295.0,1.0,blob
204,9,500.0,278.0,518.0,292.0,1.0,blob
204,10,739.0,283.0,757.0,297.0,1.0,blob
204,11,441.0,276.0,458.0,292.0,1.0,blob
204,12,558.0,275.0,576.0,296.0,1.0,blob
204,13,443.0,190.0,460.0,206.0,1.0,blob
204,14,452.0,102.0,469.0,116.0,1.0,blob
204,15,886.0,47.0,907.0,64.0,1.0,blob
204,16,675.0,538.0,693.0,551.0,1.0,blob
204,17,844.0,43.0,866.0,64.0,1.0,blob
204,18,994.0,390.0,1011.0,406.0,1.0,blob
205,0,731.0,453.0,746.0,467.0,1.0,blob
205,1,609.0,450.0,629.0,468.0,1.0,blob
205,2,848.0,449.0,863.0,464.0,1.0,blob
205,3,786.0,449.0,805.0,466.0,1.0,blob
205,4,673.0,450.0,687.0,467.0,1.0,blob
205,5,1143.0,309.0,1160.0,325.0,1.0,blob
205,6,1116.0,307.0,1129.0,325.0,1.0,blob
205,7,1193.0,346.0,1212.0,368.0,1.0,blob
205,8,858.0,278.0,875.0,295.0,1.0,blob
205,9,500.0,278.0,518.0,292.0,1.0,blob
205,10,739.0,283.0,757.0,296.0,1.0,blob
205,11,441.0,276.0,458.0,291.0,1.0,blob
205,12,558.0,275.0,576.0,296.0,1.0,blob
205,13,443.0,191.0,460.0,205.0,1.0,blob
205,14,452.0,102.0,469.0,116.0,1.0,blob
205,15,880.0,55.0,894.0,68.0,1.0,blob
205,16,676.0,538.0,692.0,550.0,1.0,blob
205,17,844.0,43.0,866.0,64.0,1.0,blob
205,18,994.0,391.0,1011.0,406.0,1.0,blob
206,0,731.0,453.0,746.0,467.0,1.0,blob
206,1,609.0,450.0,629.0,468.0,1.0,blob
206,2,848.0,449.0,863.0,464.0,1.0,blob
206,3,786.0,449.0,805.0,466.0,1.0,blob
206,4,673.0,450.0,687.0,467.0,1.0,blob
206,5,1143.0,309.0,1160.0,325.0,1.0,blob
206,6,1116.0,307.0,1129.0,325.0,1.0,blob
206,7,1193.0,346.0,1212.0,368.0,1.0,blob
206,8,858.0,278.0,875.0,295.0,1.0,blob
206,9,500.0,278.0,518.0,292.0,1.0,blob
206,10,739.0,283.0,757.0,296.0,1.0,blob
206,11,442.0,277.0,458.0,291.0,1.0,blob
206,12,558.0,275.0,576.0,296.0,1.0,blob
206,13,443.0,191.0,460.0,205.0,1.0,blob
206,14,452.0,102.0,469.0,116.0,1.0,blob
206,15,880.0,55.0,894.0,68.0,1.0,blob
206,16,676.0,538.0,692.0,550.0,1.0,blob
206,17,844.0,43.0,866.0,64.0,1.0,blob
206,18,1008.0,383.0,1025.0,398.0,1.0,blob
206,19,1125.0,517.0,1152.0,537.0,1.0,blob
206,20,682.0,276.0,700.0,295.0,1.0,blob
206,21,617.0,276.0,637.0,295.0,1.0,blob
207,0,731.0,453.0,746.0,467.0,1.0,blob
207,1,609.0,450.0,629.0,468.0,1.0,blob
207,2,848.0,449.0,863.0,464.0,1.0,blob
207,3,786.0,449.0,805.0,466.0,1.0,blob
207,4,673.0,450.0,687.0,467.0,1.0,blob
207,5,1143.0,309.0,1160.0,325.0,1.0,blob
207,6,1116.0,307.0,1129.0,325.0,1.0,blob
207,7,1193.0,346.0,1212.0,368.0,1.0,blob
207,8,858.0,278.0,875.0,295.0,1.0,blob
207,9,500.0,278.0,518.0,292.0,1.0,blob
207,10,739.0,283.0,757.0,296.0,1.0,blob
207,11,442.0,277.0,458.0,291.0,1.0,blob
207,12,558.0,275.0,576.0,296.0,1.0,blob
207,13,443.0,191.0,460.0,205.0,1.0,blob
207,14,452.0,102.0,469.0,116.0,1.0,blob
207,15,880.0,55.0,894.0,68.0,1.0,blob
207,16,676.0,538.0,692.0,550.0,1.0,blob
207,17,844.0,43.0,866.0,64.0,1.0,blob
207,18,1008.0,383.0,1025.0,398.0,1.0,blob
207,19,1125.0,515.0,1155.0,537.0,1.0,blob
207,20,682.0,276.0,700.0,295.0,1.0,blob
207,21,617.0,276.0,637.0,295.0,1.0,blob
207,22,402.0,29.0,423.0,49.0,1.0,blob
208,0,731.0,453.0,746.0,467.0,1.0,blob
208,1,609.0,450.0,629.0,468.0,1.0,blob
208,2,848.0,449.0,863.0,464.0,1.0,blob
208,3,786.0,449.0,805.0,466.0,1.0,blob
208,4,673.0,450.0,687.0,467.0,1.0,blob
208,5,1143.0,309.0,1160.0,325.0,1.0,blob
208,6,1116.0,307.0,1129.0,325.0,1.0,blob
208,7,1193.0,346.0,1212.0,368.0,1.0,blob
208,8,858.0,278.0,875.0,295.0,1.0,blob
208,9,500.0,278.0,518.0,292.0,1.0,blob
208,10,739.0,283.0,757.0,296.0,1.0,blob
208,11,442.0,277.0,458.0,291.0,1.0,blob
208,12,558.0,275.0,576.0,296.0,1.0,blob
208,13,443.0,191.0,460.0,205.0,1.0,blob
208,14,452.0,102.0,469.0,116.0,1.0,blob
208,15,880.0,55.0,894.0,68.0,1.0,blob
208,16,676.0,538.0,692.0,550.0,1.0,blob
208,17,844.0,43.0,866.0,64.0,1.0,blob
208,18,1008.0,383.0,1025.0,398.0,1.0,blob
208,19,1125.0,515.0,1155.0,537.0,1.0,blob
208,20,638.0,380.0,656.0,405.0,1.0,blob
208,21,620.0,277.0,637.0,294.0,1.0,blob
208,22,407.0,12.0,426.0,26.0,1.0,blob
208,23,424.0,391.0,442.0,405.0,1.0,blob
208,24,371.0,29.0,400.0,65.0,1.0,blob
209,0,731.0,453.0,746.0,467.0,1.0,blob
209,1,609.0,450.0,629.0,468.0,1.0,blob
209,2,848.0,449.0,863.0,464.0,1.0,blob
209,3,786.0,449.0,805.0,466.0,1.0,blob
209,4,673.0,450.0,687.0,467.0,1.0,blob
209,5,1143.0,309.0,1160.0,325.0,1.0,blob
209,6,1116.0,307.0,1129.0,325.0,1.0,blob
